doc_id,source_type,source_id,text
doc_prod_oy_a000000170418,product,prod_oy_a000000170418,"상품명: 비오템 비오수르스 중복합성 토너 400ml
브랜드: 비오템
카테고리: TONER
주요 전성분: 정제수부틸렌글라이콜변성알코올글리세린피피지-6-데실테트라데세스-30피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린징크글루코네이트글라이신메치오닌소듐시트레이트소듐석시네이트알지닌세린만노오스디소듐이디티에이하이드롤라이즈드밀단백질비트레오실라발효물시트릭애씨드시트룰린락토바실러스발효물토코페롤포타슘소르베이트소듐데하이드로아세테이트페녹시에탄올클로페네신향료리날룰제라니올알파-이소메칠이오논하이드록시시트로넬알시트로넬올부틸페닐메칠프로피오날벤질알코올벤질살리실레이트"
doc_prod_oy_a000000204623,product,prod_oy_a000000204623,"상품명: 설화수 자음수EX 150ml
브랜드: 설화수
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 1,2-헥산다이올, 베타인, 글리세린, 트레할로오스, 피이지/피피지-17/6코폴리머, 글리세레스-26, 피이지-60하이드로제네이티드캐스터오일, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머"
doc_prod_oy_a000000243855,product,prod_oy_a000000243855,"상품명: [화잘먹/각질제거부스터]폴라초이스 스킨퍼펙팅 바하 리퀴드 엑스폴리언트 118ml
브랜드: 폴라초이스
카테고리: TONER
주요 전성분: 정제수, 프로필렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 글리세린, 살리실릭애씨드0.5%, 흰버드나무껍질추출물0.5%, 피이지/피피지-17/6코폴리머, 폴리솔베이트20, 비스-피이지-18메틸에터다이메틸실레인"
doc_prod_oy_a000000004434,product,prod_oy_a000000004434,"상품명: 바이오더마 하이드라비오 토너 250ml
브랜드: 바이오더마
카테고리: TONER
주요 전성분: 정제수, 글리세린, 폴리솔베이트20, 다이소듐이디티에이, 세트리모늄브로마이드, 나이아신아마이드, 자일리톨, 알란토인, 프룩토올리고사카라이드, 만니톨"
doc_prod_oy_a000000229456,product,prod_oy_a000000229456,"상품명: 셀라딕스 트러블 쿨 카밍 131 토너 300ml
브랜드: 셀라딕스
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 판테놀, 자일리톨, 폴리글리세릴-10라우레이트, 프로판다이올, 베타인"
doc_prod_oy_a000000215222,product,prod_oy_a000000215222,"상품명: [각질개선율191%]리쥬란 더마 힐러 모이스처 트리트먼트 토너 150ml
브랜드: 리쥬란
카테고리: TONER
주요 전성분: 정제수, 1,2-헥산다이올, 알로에베라잎즙, 오이열매추출물, 글리세린, 귀리커넬추출물, 포트마리골드추출물, 부틸렌글라이콜, 석류추출물, 마트리카리아꽃추출물"
doc_prod_oy_a000000228333,product,prod_oy_a000000228333,"상품명: 토리든 밸런스풀 시카 각질 토너 250ml
브랜드: 토리든
카테고리: TONER
주요 전성분: 정제수, 프로판다이올, 글리세린, 글루코노락톤30,000ppm, 1,2-헥산다이올, 메틸프로판다이올, 나이아신아마이드, 판테놀, 베타인살리실레이트, 병풀추출물1,000ppm"
doc_prod_oy_a000000204652,product,prod_oy_a000000204652,"상품명: 더후 공진향 탄력 밸런싱 토너 150ml
브랜드: 더후
카테고리: TONER
주요 전성분: 정제수*, 변성알코올, 1,2-헥산다이올*, 다이프로필렌글라이콜, 부틸렌글라이콜*, 글리세린, 베타인, 메틸글루세스-20, 판테놀, 트레할로오스"
doc_prod_oy_a000000210924,product,prod_oy_a000000210924,"상품명: [단독기획]인터미션 레스트업 세럼스킨 290ml
브랜드: 인터미션
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 병풀잎추출물, 트레할로오스, 알란토인, 에스에이치-올리고펩타이드-23에스피, 마데카소사이드"
doc_prod_oy_a000000183751,product,prod_oy_a000000183751,"상품명: [시카보다 4배*강한] 한율 어린쑥 수분진정 토너 150ml
브랜드: 한율
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 베타인, 글리세린, 황해쑥잎수18,944ppm, 1,2-헥산다이올, 판테놀5,000ppm, 피피지-13-데실테트라데세스-24, 2,3-부탄다이올, 향료"
doc_prod_oy_a000000153859,product,prod_oy_a000000153859,"상품명: [100시간/보습지속] 아이소이 모이스춰닥터 장수진 수분토너 130ml
브랜드: 아이소이
카테고리: TONER
주요 전성분: 정제수, 글리세린, 베타인, 판테놀, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드글라이코사미노글리칸, 티트리잎추출물"
doc_prod_oy_a000000182787,product,prod_oy_a000000182787,"상품명: [약산성/저자극] 파티온 노스카나인 트러블 클리어 토너 200ml
브랜드: 파티온
카테고리: TONER
주요 전성분: 정제수, 2,3-부탄다이올, 에톡시다이글라이콜, 글루코노락톤, 1,2-헥산다이올, 글리세린, 메틸프로판다이올, 글리세레스-26, 트로메타민, 카프릴릴글라이콜"
doc_prod_oy_a000000229470,product,prod_oy_a000000229470,"상품명: [결정돈토너] 정샘물 에센셜 물 토너 200ml
브랜드: 정샘물
카테고리: TONER
주요 전성분: 정제수, 글리세린, 디프로필렌글라이콜, 부틸렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 사탕수수추출물, 카라기난추출물, 연꽃수, 하이드롤라이즈드펄"
doc_prod_oy_a000000002839,product,prod_oy_a000000002839,"상품명: 바이오더마 센시비오 토너 250ml
브랜드: 바이오더마
카테고리: TONER
주요 전성분: 정제수, 글리세린, 자일리톨, 폴리솔베이트20, 피이지-40하이드로제네이티드캐스터오일, 다이소듐이디티에이, 알란토인, 세트리모늄브로마이드, 프로필렌글라이콜, 오이열매추출물"
doc_prod_oy_a000000254392,product,prod_oy_a000000254392,"상품명: [NEW/버블수분] 리얼베리어 워터리 히알 버블 토너 140ml
브랜드: 리얼베리어
카테고리: TONER
주요 전성분: 정제수, 다이프로필렌글라이콜, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 폴리글리세릴-10라우레이트, 알란토인, 베타인, 하이드롤라이즈드하이알루로닉애씨드601.5ppm, 하이드록시아세토페논"
doc_prod_oy_a000000144551,product,prod_oy_a000000144551,"상품명: [속보습장벽토너] 하다라보 고쿠쥰 로션 170mL
브랜드: 하다라보
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 다이글리세린, 피피지-10메틸글루코오스에터, 다이소듐석시네이트, 프로판다이올, 소듐하이알루로네이트, 다이소듐이디티에이"
doc_prod_oy_a000000188830,product,prod_oy_a000000188830,"상품명: 조선미녀 인삼에센스워터 150ml
브랜드: 조선미녀
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 글리세린, 프로판다이올, 나이아신아마이드, 1,2-헥산다이올, 인삼수16,590ppm, 하이드록시아세토페논, 글리세릴글루코사이드, 판테놀"
doc_prod_oy_a000000129474,product,prod_oy_a000000129474,"상품명: 코스알엑스 풀핏 프로폴리스 시너지 토너 280ml
브랜드: 코스알엑스
카테고리: TONER
주요 전성분: 프로폴리스추출물, 꿀추출물, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 결명씨추출물, 판테놀, 폴리글리세릴-10라우레이트, 폴리글리세릴-10미리스테이트"
doc_prod_oy_a000000217777,product,prod_oy_a000000217777,"상품명: 닥터디퍼런트 스케일링 토너 (지성용) 300ml (AD)
브랜드: 닥터디퍼런트
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 소듐시트레이트, 살리실릭애씨드, 카프릴릴글라이콜, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 폴리글리세릴-4라우레이트"
doc_prod_oy_a000000213492,product,prod_oy_a000000213492,"상품명: [흔적미백]메디큐브 PDRN 핑크 시카 수딩 토너 250ml
브랜드: 메디큐브
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 자일리톨, 소듐디엔에이1,000ppm, 소듐시트레이트, 알란토인, 에틸헥실글리세린"
doc_prod_oy_a000000197102,product,prod_oy_a000000197102,"상품명: [NCT 재민PICK] 이즈앤트리 초저분자 히아루론산 토너 300ml
브랜드: 이즈앤트리
카테고리: TONER
주요 전성분: 정제수, 메틸프로판다이올, 1,2-헥산다이올, 해수, 글리세린, 베타인, 알란토인, 부틸렌글라이콜, 카프릴릴글라이콜, 에틸헥실글리세린"
doc_prod_oy_a000000182686,product,prod_oy_a000000182686,"상품명: 에스트라 테라크네365 하이드로 액티브 토너 200ml
브랜드: 에스트라
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 아이소펜틸다이올, 베타인, 판테놀, 알란토인, 다이포타슘글리시리제이트, 잔탄검"
doc_prod_oy_a000000223425,product,prod_oy_a000000223425,"상품명: [미백/잡티케어] 달바 비타 토닝 세럼 토너 180ml
브랜드: 달바
카테고리: TONER
주요 전성분: 정제수, 비타민나무수117,600ppm, 다이프로필렌글라이콜, 글리세레스-26, 1,2-헥산다이올, 나이아신아마이드20,000ppm, 글리세린, 메틸글루세스-20, 폴리글리세릴-10라우레이트, 세테아릴알코올"
doc_prod_oy_a000000209908,product,prod_oy_a000000209908,"상품명: 제로이드 인텐시브 크림 토너 200ml
브랜드: 제로이드
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 글리세린, 시어버터, 1,2-헥산다이올, 하이드로제네이티드레시틴, 폴리글리세릴-10스테아레이트, 폴리글리세릴-10베헤네이트/에이코사디오에이트, 다이프로필렌글라이콜, 판테놀"
doc_prod_oy_a000000251819,product,prod_oy_a000000251819,"상품명: [모공결/피지케어] 가쉬 타겟티드 포어 겔 미스트 100ml
브랜드: 가쉬
카테고리: TONER
주요 전성분: 정제수, 트라이프로필렌글라이콜, 글리세레스-26, 프로판다이올, 메틸프로판다이올, 나이아신아마이드, 부틸렌글라이콜, 자일리톨, 1,2-헥산다이올, 글리세린"
doc_prod_oy_a000000199507,product,prod_oy_a000000199507,"상품명: 헤브블루 살몬 PDRN 케어링 센텔라 토너 200ml
브랜드: 헤브블루
카테고리: TONER
주요 전성분: 병풀잎수828,168ppm, 정제수, 부틸렌글라이콜, 약모밀수30,380ppm, 프로판다이올, 글리세린, 1,2-헥산다이올, 연어알추출물1,500ppm, 알란토인, 판테놀"
doc_prod_oy_a000000237491,product,prod_oy_a000000237491,"상품명: [수부지장벽토너] 코스노리 판테놀 베리어 토너 205ml
브랜드: 코스노리
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 판테놀, 다이프로필렌글라이콜, 글리세레스-26, 나이아신아마이드, 1,2-헥산다이올, 카카두플럼추출물, 병풀추출물, 아시아티코사이드"
doc_prod_oy_a000000252722,product,prod_oy_a000000252722,"상품명: [NEW] 식물나라 어린녹차 촉촉 진정 젤 크림 100ml
브랜드: 식물나라
카테고리: TONER
주요 전성분: 녹차수50.9%, 정제수, 부틸렌글라이콜, 글리세린, 프로판다이올, 1,2-헥산다이올, 메틸트라이메티콘, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 알지닌, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머"
doc_prod_oy_a000000242750,product,prod_oy_a000000242750,"상품명: 빌리프 프라블럼 솔루션 비건 PHA 클리어링 토너 150ml
브랜드: 빌리프
카테고리: TONER
주요 전성분: 정제수, 다이프로필렌글라이콜, 프로판다이올, 1,2-헥산다이올, 글리세린, 나이아신아마이드, 4-터피네올+, 토타롤+, 시트릭애씨드, 소듐시트레이트"
doc_prod_oy_a000000255384,product,prod_oy_a000000255384,"상품명: [NEW/쿨링화잘먹/버블토너] 더샘 스킨 프렙 쿨링 무스 토너 70ml
브랜드: 더샘
카테고리: TONER
주요 전성분: 정제수, 다이메틸에터, 글리세린, 트라이프로필렌글라이콜, 프로판다이올, 1,2-헥산다이올, 폴리글리세릴-10라우레이트, 변성알코올, 트레할로오스, 풀루란"
doc_prod_oy_a000000211218,product,prod_oy_a000000211218,"상품명: 믹순 병풀 토너 300ml
브랜드: 믹순
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 1,2-헥산다이올, 병풀추출물10,000ppm"
doc_prod_oy_a000000016873,product,prod_oy_a000000016873,"상품명: [수분장벽토너] 유리아쥬 제모스 토너 250ml
브랜드: 유리아쥬
카테고리: TONER
주요 전성분: 정제수, 온천수*, 글리세린, 부틸렌글라이콜, 페녹시에탄올, 소듐하이알루로네이트, 피브이피, 벤조익애씨드, 트로메타민*750,000ppm"
doc_prod_oy_a000000229082,product,prod_oy_a000000229082,"상품명: [화잘먹토너] 차앤박 더마앤서 핑크토닝 PDRN 토너 200ml
브랜드: 차앤박
카테고리: TONER
주요 전성분: 정제수, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 나이아신아마이드, 트라넥사믹애씨드, 판테놀, 프로테아제, 사이아노코발아민, 소듐디엔에이"
doc_prod_oy_a000000211858,product,prod_oy_a000000211858,"상품명: [결청소토너] 딕셔니스트 아미노산 토너 250ml *
브랜드: 딕셔니스트
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 바실러스발효물, 나이아신아마이드, 1,2-헥산다이올, 락토바실러스/석류발효추출물, 무화과추출물, 귤껍질추출물, 폴리글루타믹애씨드, 살리실릭애씨드"
doc_prod_oy_a000000257084,product,prod_oy_a000000257084,"상품명: [모공픽서/각질개선] 그라펜 포어올킬 미스트토너 120ml(호박스 공동개발)
브랜드: 그라펜
카테고리: TONER
주요 전성분: 정제수, 나이아신아마이드, 2,3-부탄다이올, 글리세레스-26, 펜틸렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올, 글리세린, 글루코노락톤, C12-14알케스-12"
doc_prod_oy_a000000188598,product,prod_oy_a000000188598,"상품명: 조선미녀 붉은 팥 수분 워터 젤 100ml
브랜드: 조선미녀
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 메틸트라이메티콘, 팥추출물4,500ppm, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 글리세릴글루코사이드, C12-14알케스-12"
doc_prod_oy_a000000229521,product,prod_oy_a000000229521,"상품명: [모공케어] 성분에디터 그린토마토 NMN 포어 하이드로 수딩 토너 350ml
브랜드: 성분에디터
카테고리: TONER
주요 전성분: 정제수, 글리세린, 다이프로필렌글라이콜, 부틸렌글라이콜, 나이아신아마이드, 토마토수10,094ppm, 토마토추출물100ppm, 하이드록시아세토페논, 카프릴릴글라이콜, C12-13파레스-9"
doc_prod_oy_a000000212792,product,prod_oy_a000000212792,"상품명: [영양/부스팅토너] 셀리맥스 더 리얼 노니 수분 밸런싱 토너 320ml
브랜드: 셀리맥스
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 1,2-헥산다이올, 하이드록시에틸우레아, 노니열매추출물0.8%, 프로판다이올, 클로페네신, C12-14알케스-12, 글라이신, 베타인"
doc_prod_oy_a000000203170,product,prod_oy_a000000203170,"상품명: 식물나라 뽀얀쌀 맑은톤 토너 500mL
브랜드: 식물나라
카테고리: TONER
주요 전성분: 정제수, 프로판다이올, 다이프로필렌글라이콜, 나이아신아마이드, 1,2-헥산다이올, 글리세린, 다이페닐다이메티콘, 트라이에틸헥사노인, 베타인, 하이드로제네이티드레시틴"
doc_prod_oy_a000000165355,product,prod_oy_a000000165355,"상품명: AHC 허브솔루션 위치하젤 토너 500ml
브랜드: AHC
카테고리: TONER
주요 전성분: '정제수, 버지니아풍년화수49,750mg, 글리세린, 다이프로필렌글라이콜, 에탄올, 펜틸렌글라이콜, 사과수, 밤부사불가리스수, 소듐하이알루로네이트, 은행나무잎추출물0.005mg"
doc_prod_oy_a000000165364,product,prod_oy_a000000165364,"상품명: AHC 허브솔루션 로즈 토너 500ml
브랜드: AHC
카테고리: TONER
주요 전성분: 정제수, 프로방스장미꽃수48,900mg, 글리세린, 다이프로필렌글라이콜, 에탄올, 펜틸렌글라이콜, 사과수, 석류나무추출물, 코치닐선인장열매추출물0.25mg, 꿀추출물0.25mg"
doc_prod_oy_a000000204454,product,prod_oy_a000000204454,"상품명: 조선미녀 청매실 AHABHA 토너 150ml
브랜드: 조선미녀
카테고리: TONER
주요 전성분: 정제수, 매실수25.0%, 다이프로필렌글라이콜, 글리세린, 글라이콜릭애씨드2.0%, 부틸렌글라이콜, 트로메타민, 1,2-헥산다이올, 살리실릭애씨드0.5%, 하이드록시아세토페논"
doc_prod_oy_a000000258894,product,prod_oy_a000000258894,"상품명: 더랩바이블랑두 올리고 히알루론산 딥 토너 100ml
브랜드: 더랩바이블랑두
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 베타-글루칸, 베타인, 소듐하이알루로네이트2,700ppm, 판테놀, 솔비톨, 아세틸글루코사민"
doc_prod_oy_a000000154540,product,prod_oy_a000000154540,"상품명: [수분진정/붉은기완화] 원씽 병풀 추출물 토너 150ml
브랜드: 원씽
카테고리: TONER
주요 전성분: 병풀추출물, 부틸렌글라이콜, 1,2-헥산다이올"
doc_prod_oy_a000000104167,product,prod_oy_a000000104167,"상품명: 크리니크 각질케어토너 2 200ml
브랜드: 크리니크
카테고리: TONER
주요 전성분: 정제수, 변성알코올, 글리세린, 위치하젤, 아세틸글루코사민, 멘톨, 소듐하이알루로네이트, 트레할로스, 부틸렌글라이콜, 디소듐포스페이트"
doc_prod_oy_a000000113008,product,prod_oy_a000000113008,"상품명: 셀린저 리얼 토너 씨벅톤 200ml
브랜드: 셀린저
카테고리: TONER
주요 전성분: 정제수, 글리세린, 1,2-헥산다이올, 비타민나무추출물"
doc_prod_oy_a000000113009,product,prod_oy_a000000113009,"상품명: 셀린저 리얼 토너 카렌듈라 200ml
브랜드: 셀린저
카테고리: TONER
주요 전성분: 정제수, 글리세린, 1,2-헥산다이올, 포트마리골드꽃추출물"
doc_prod_oy_a000000113010,product,prod_oy_a000000113010,"상품명: 셀린저 리얼 토너 티트리 200ml
브랜드: 셀린저
카테고리: TONER
주요 전성분: 정제수, 글리세린, 1,2-헥산다이올, 티트리추출물"
doc_prod_oy_a000000113011,product,prod_oy_a000000113011,"상품명: 셀린저 리얼 토너 센텔라아시아티카 200ml
브랜드: 셀린저
카테고리: TONER
주요 전성분: 정제수, 병풀잎추출물, 1,2-헥산다이올"
doc_prod_oy_a000000113806,product,prod_oy_a000000113806,"상품명: [응급진정토닉] 아이소이 아크니 닥터 1st 컨트롤 토닉 90ml
브랜드: 아이소이
카테고리: TONER
주요 전성분: 정제수, 다마스크장미꽃수, 글리세린, 부틸렌글라이콜, 에탄올, 실새삼씨추출물, 다마스크장미꽃오일, 만난, 알란토인, 소듐하이알루로네이트"
doc_prod_oy_a000000115384,product,prod_oy_a000000115384,"상품명: [응급진정/유수분케어]로벡틴 시카케어 밸런싱 토너 260ml
브랜드: 로벡틴
카테고리: TONER
주요 전성분: 정제수, 다이프로필렌글라이콜, 글리세린, 메틸프로판다이올, 프로판다이올, 1,2-헥산다이올, C12-14파레스-12, 판테놀, 마데카소사이드, 병풀추출물"
doc_prod_oy_a000000115420,product,prod_oy_a000000115420,"상품명: [각질케어/청정피부] 셀퓨전씨 트리악 pH 컨디션 토너 200ml
브랜드: 셀퓨전씨
카테고리: TONER
주요 전성분: 정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 펙틴, 흰버드나무껍질추출물, 클로렐라에메르소니이추출물, 메도우스위트추출물, 산소, 히비스커스꽃추출물"
doc_prod_oy_a000000115910,product,prod_oy_a000000115910,"상품명: [진정뿌토] 시카고 시카 엑스퍼트 미스트 토너 150ml
브랜드: 시카고
카테고리: TONER
주요 전성분: 정제수, 글리세린, 베타인, 세리신, 벌사상자열매추출물, 겨우살이추출물, 편백잎추출물, 병풀추출물, 판테놀, 알란토인"
doc_prod_oy_a000000117997,product,prod_oy_a000000117997,"상품명: 썸바이미 아하바하파하 30 데이즈 미라클 토너 150ml
브랜드: 썸바이미
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 글리세린, 나이아신아마이드, 티트리잎수, 폴리글리세릴-4카프레이트, 파파야열매추출물, 에스큘렌타렌즈콩씨추출물, 버지니아풍년화추출물"
doc_prod_oy_a000000121246,product,prod_oy_a000000121246,"상품명: 싸이닉 더 심플 카밍 토너 145ml
브랜드: 싸이닉
카테고리: TONER
주요 전성분: 정제수, 글리세린, 프로판다이올, 1,2-헥산다이올, 글리세레스-26, 펜틸렌글라이콜, 알바수련꽃추출물, 알로에베라잎즙, 부틸렌글라이콜, 마데카소사이드"
doc_prod_oy_a000000125507,product,prod_oy_a000000125507,"상품명: [1등토너]라운드랩 1025 독도 토너 200ml
브랜드: 라운드랩
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제"
doc_prod_oy_a000000129443,product,prod_oy_a000000129443,"상품명: 이즈앤트리 히아루론산 토너 200ml
브랜드: 이즈앤트리
카테고리: TONER
주요 전성분: 정제수, 프로판다이올, 1,2-헥산다이올, 소듐하이알루로네이트, 트레할로오스, 소듐피씨에이, 글리세린, 하이알루로닉애씨드, 알로에베라잎추출물, 접시꽃뿌리추출물"
