product_id,mall_name,price,product_url,is_lowest,currency
prod_oy_a000000237491,올리브영,12000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000237491,true,KRW
prod_oy_a000000154506,올리브영,9900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154506,true,KRW
prod_oy_a000000128107,올리브영,9600,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000128107,true,KRW
prod_oy_a000000121246,올리브영,7900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000121246,true,KRW
prod_oy_a000000016873,올리브영,19900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016873,true,KRW
prod_oy_a000000104144,올리브영,44000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104144,true,KRW
prod_oy_a000000104167,올리브영,43000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104167,true,KRW
prod_oy_a000000113008,올리브영,10000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000113008,true,KRW
prod_oy_a000000113009,올리브영,10000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000113009,true,KRW
prod_oy_a000000113010,올리브영,10000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000113010,true,KRW
prod_oy_a000000113011,올리브영,10000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000113011,true,KRW
prod_oy_a000000113806,올리브영,21600,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000113806,true,KRW
prod_oy_a000000115384,올리브영,13750,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000115384,true,KRW
prod_oy_a000000115420,올리브영,24000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000115420,true,KRW
prod_oy_a000000115910,올리브영,16800,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000115910,true,KRW
prod_oy_a000000117997,올리브영,21600,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000117997,true,KRW
prod_oy_a000000125507,올리브영,12900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000125507,true,KRW
prod_oy_a000000129443,올리브영,11900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000129443,true,KRW
prod_oy_a000000136077,올리브영,17500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000136077,true,KRW
prod_oy_a000000141327,올리브영,14000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141327,true,KRW
prod_oy_a000000144052,올리브영,34400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000144052,true,KRW
prod_oy_a000000145833,올리브영,15400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000145833,true,KRW
prod_oy_a000000146262,올리브영,20000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146262,true,KRW
prod_oy_a000000146589,올리브영,23000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146589,true,KRW
prod_oy_a000000147360,올리브영,21000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147360,true,KRW
prod_oy_a000000148252,올리브영,15600,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148252,true,KRW
prod_oy_a000000150815,올리브영,16500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150815,true,KRW
prod_oy_a000000154540,올리브영,9900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154540,true,KRW
prod_oy_a000000155413,올리브영,14000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000155413,true,KRW
prod_oy_a000000158322,올리브영,13400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158322,true,KRW
prod_oy_a000000160436,올리브영,18000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160436,true,KRW
prod_oy_a000000160562,올리브영,43000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160562,true,KRW
prod_oy_a000000160650,올리브영,13900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160650,true,KRW
prod_oy_a000000162058,올리브영,33000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162058,true,KRW
prod_oy_a000000162977,올리브영,15400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162977,true,KRW
prod_oy_a000000163734,올리브영,21000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163734,true,KRW
prod_oy_a000000165360,올리브영,15000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165360,true,KRW
prod_oy_a000000165364,올리브영,15000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165364,true,KRW
prod_oy_a000000165366,올리브영,15000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165366,true,KRW
prod_oy_a000000167276,올리브영,14900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000167276,true,KRW
prod_oy_a000000168269,올리브영,31000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000168269,true,KRW
prod_oy_a000000169999,올리브영,39950,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000169999,true,KRW
prod_oy_a000000170418,올리브영,67150,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170418,true,KRW
prod_oy_a000000170638,올리브영,19950,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170638,true,KRW
prod_oy_a000000171755,올리브영,17000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171755,true,KRW
prod_oy_a000000176512,올리브영,23000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176512,true,KRW
prod_oy_a000000176978,올리브영,16800,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176978,true,KRW
prod_oy_a000000177477,올리브영,11200,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000177477,true,KRW
prod_oy_a000000178648,올리브영,56000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000178648,true,KRW
prod_oy_a000000179544,올리브영,24000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179544,true,KRW
prod_oy_a000000182686,올리브영,30000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182686,true,KRW
prod_oy_a000000182787,올리브영,23000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182787,true,KRW
prod_oy_a000000184790,올리브영,19900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184790,true,KRW
prod_oy_a000000187241,올리브영,34650,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187241,true,KRW
prod_oy_a000000188048,올리브영,27000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188048,true,KRW
