product_id,brand,product_name,category,profile_group,profile_label_ko,review_count,avg_rating,repurchase_count,repurchase_rate,photo_review_count,photo_review_rate,avg_helpful_count,profile_confidence
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_trouble,블랙헤드,186,4.898,28,0.1505,19,0.1022,2.747,high
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_trouble,민감성,114,4.825,12,0.1053,19,0.1667,2.518,high
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_trouble,주름,96,4.844,14,0.1458,18,0.1875,7.833,medium
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_trouble,모공,59,4.898,7,0.1186,3,0.0508,11.169,medium
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_trouble,피지과다,54,4.833,0,0.0000,6,0.1111,1.037,medium
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_trouble,붉은기,35,4.829,2,0.0571,4,0.1143,20.457,medium
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_trouble,탄력,30,4.933,2,0.0667,3,0.1000,1.833,medium
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_trouble,다크서클,23,4.826,1,0.0435,1,0.0435,0.304,low
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_trouble,가려움,10,4.800,1,0.1000,0,0.0000,0.200,low
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_type,복합성,406,4.818,39,0.0961,64,0.1576,5.086,high
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_type,건성,240,4.838,31,0.1292,35,0.1458,2.958,high
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_type,지성,150,4.807,15,0.1000,16,0.1067,3.007,high
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_type,민감성,84,4.881,11,0.1310,7,0.0833,1.286,medium
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_type,트러블성,43,4.744,4,0.0930,4,0.0930,1.860,medium
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_type,중성,18,4.778,6,0.3333,1,0.0556,0.500,low
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,skin_type,약건성,8,5.000,1,0.1250,2,0.2500,2.625,very_low
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_tone,웜톤,155,4.748,22,0.1419,30,0.1935,2.652,high
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_tone,쿨톤,118,4.788,14,0.1186,26,0.2203,3.186,high
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_tone,여름쿨톤,57,4.895,9,0.1579,12,0.2105,1.579,medium
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_tone,봄웜톤,46,4.739,4,0.0870,6,0.1304,3.261,medium
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_tone,가을웜톤,37,4.838,5,0.1351,6,0.1622,3.054,medium
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_tone,겨울쿨톤,27,4.889,7,0.2593,2,0.0741,1.185,low
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,잡티,151,4.781,16,0.1060,38,0.2517,3.305,high
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,트러블,136,4.882,24,0.1765,28,0.2059,2.485,high
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,미백,124,4.782,16,0.1290,34,0.2742,3.903,high
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,각질,93,4.849,13,0.1398,13,0.1398,2.366,medium
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,블랙헤드,76,4.816,9,0.1184,14,0.1842,2.882,medium
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,민감성,62,4.726,9,0.1452,18,0.2903,2.532,medium
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,주름,51,4.647,4,0.0784,11,0.2157,2.804,medium
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,붉은기,34,4.824,7,0.2059,6,0.1765,3.324,medium
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,피지과다,31,4.871,4,0.1290,3,0.0968,1.226,medium
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,모공,26,4.885,1,0.0385,1,0.0385,0.538,low
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,탄력,12,5.000,0,0.0000,2,0.1667,2.917,low
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,다크서클,10,4.900,1,0.1000,2,0.2000,2.000,low
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_trouble,가려움,1,5.000,0,0.0000,0,0.0000,3.000,very_low
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_type,복합성,224,4.813,31,0.1384,51,0.2277,3.174,high
