product_id,dry_fit,oily_fit,combination_fit,normal_fit,dehydrated_oily_fit,sensitive_fit,sensitivity_tag,confidence,reason
cultbeauty_eac0836d777cb2,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형; 기본추천 제외 상품
cultbeauty_06e0f823073b42,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_edc59646db5a97,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
cultbeauty_cd0c11775c57be,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_bd99a9c884c5ae,0.64,0.76,0.72,0.62,0.66,0.69,정보없음,low,진정/민감 키워드; 피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_9df04417cf321f,0.84,0.76,0.72,0.70,0.88,0.69,정보없음,low,보습/장벽 컨셉; 진정/민감 키워드; 피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_55dc4068e6d537,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
cultbeauty_e62026886ff7dc,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_168d003db927a0,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_f4bba2332064cb,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_db4ea14d02b0bd,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_e90c7aaa9d40b9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_5f6d853fad79c0,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
