product_id,dry_fit,oily_fit,combination_fit,normal_fit,dehydrated_oily_fit,sensitive_fit,sensitivity_tag,confidence,reason
cultbeauty_e4daf4ed42f9f8,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_9ac5d44c6fd69f,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_8b10b18fba08be,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
cultbeauty_c908d029070191,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_39c663e3dc5ef3,0.74,0.48,0.55,0.62,0.58,0.55,정보없음,low,오일/밤 제형; 기본추천 제외 상품
cultbeauty_42a93f099ac669,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_4cb8aed2bc85b2,0.64,0.58,0.60,0.62,0.66,0.77,정보없음,low,진정/민감 키워드; 기본추천 제외 상품
cultbeauty_3a6b2a226d3b6c,0.64,0.66,0.70,0.62,0.78,0.77,민감가능,low,가벼운 수분 제형; 진정/민감 키워드
cultbeauty_1cdb4ed053d5d1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_69ef018216031e,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_1aefa1a894a7ff,0.74,0.48,0.55,0.62,0.58,0.55,정보없음,low,오일/밤 제형; 기본추천 제외 상품
cultbeauty_2b5f1516b9cf58,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_c1fa9ca0589842,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드
cultbeauty_f53ef3281c8f83,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_f85b044880ce6e,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_f703a9677d2024,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_e92c9d60a08a13,0.74,0.66,0.67,0.62,0.58,0.47,정보없음,low,오일/밤 제형; 피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_d89bf6a982f25b,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_ebe202a692f8e3,0.78,0.76,0.72,0.70,0.80,0.47,정보없음,low,보습/장벽 컨셉; 피지/트러블 키워드
cultbeauty_d83e0aadfdab5a,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
cultbeauty_63d38a427f01d4,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_0a91404880b4e1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_d05f1c2982c821,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
cultbeauty_37d4e12e134f9d,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
cultbeauty_6a30cc42bc0638,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
cultbeauty_ba68baafe4f722,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
cultbeauty_583c54a9db1536,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_9ae91fd142e5f2,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_36d499ab5c376b,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_f65aa3af83aae3,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_cb91efe239472e,0.78,0.84,0.82,0.70,0.92,0.47,정보없음,low,보습/장벽 컨셉; 가벼운 수분 제형; 피지/트러블 키워드
cultbeauty_5736686da04c38,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
cultbeauty_90e916562094fb,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_ebc547d6d24a59,0.58,0.84,0.82,0.62,0.70,0.47,정보없음,low,가벼운 수분 제형; 피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_386d4c8884d200,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_f563b6e2c9dc59,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
cultbeauty_4744863d5e482b,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_4a0fa5b0082632,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_3a755159d44615,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
cultbeauty_65713618bdcbac,0.84,0.58,0.60,0.70,0.88,0.77,민감가능,low,보습/장벽 컨셉; 진정/민감 키워드
cultbeauty_4c68a4f61accb9,0.74,0.66,0.67,0.62,0.58,0.47,정보없음,low,오일/밤 제형; 피지/트러블 키워드; 기본추천 제외 상품
