product_id,image_type,display_order,source_image_url,storage_key,public_url,upload_status
ulta_fe865edced441d,thumbnail,1,https://media.ultainc.com/i/ulta/77002357?w=500&h=500,products/ulta_fe865edced441d/thumbnail_001_711e6a59635c.jpg,products/ulta_fe865edced441d/thumbnail_001_711e6a59635c.jpg,PENDING_UPLOAD
ulta_af4710777a3cfd,thumbnail,1,https://media.ultainc.com/i/ulta/77002557?w=500&h=500,products/ulta_af4710777a3cfd/thumbnail_001_9941065dc15c.jpg,products/ulta_af4710777a3cfd/thumbnail_001_9941065dc15c.jpg,PENDING_UPLOAD
ulta_255db1a83b8a86,thumbnail,1,https://media.ultainc.com/i/ulta/77002564?w=500&h=500,products/ulta_255db1a83b8a86/thumbnail_001_368a99260b14.jpg,products/ulta_255db1a83b8a86/thumbnail_001_368a99260b14.jpg,PENDING_UPLOAD
ulta_b4055d14c6c128,thumbnail,1,https://media.ultainc.com/i/ulta/77002571?w=500&h=500,products/ulta_b4055d14c6c128/thumbnail_001_6511abf39c3f.jpg,products/ulta_b4055d14c6c128/thumbnail_001_6511abf39c3f.jpg,PENDING_UPLOAD
ulta_8d1eff398004f0,thumbnail,1,https://media.ultainc.com/i/ulta/77002577?w=500&h=500,products/ulta_8d1eff398004f0/thumbnail_001_7410a9f8f1f5.jpg,products/ulta_8d1eff398004f0/thumbnail_001_7410a9f8f1f5.jpg,PENDING_UPLOAD
ulta_3d46c046708015,thumbnail,1,https://media.ultainc.com/i/ulta/77002653?w=500&h=500,products/ulta_3d46c046708015/thumbnail_001_daa8bfd0b998.jpg,products/ulta_3d46c046708015/thumbnail_001_daa8bfd0b998.jpg,PENDING_UPLOAD
ulta_6d235fd8858e74,thumbnail,1,https://media.ultainc.com/i/ulta/77002698?w=500&h=500,products/ulta_6d235fd8858e74/thumbnail_001_8f19b4cd8efb.jpg,products/ulta_6d235fd8858e74/thumbnail_001_8f19b4cd8efb.jpg,PENDING_UPLOAD
ulta_6b2b98e116af60,thumbnail,1,https://media.ultainc.com/i/ulta/77002704?w=500&h=500,products/ulta_6b2b98e116af60/thumbnail_001_7b4a2a1e2b4c.jpg,products/ulta_6b2b98e116af60/thumbnail_001_7b4a2a1e2b4c.jpg,PENDING_UPLOAD
ulta_fcea5eea4e73ce,thumbnail,1,https://media.ultainc.com/i/ulta/77002716?w=500&h=500,products/ulta_fcea5eea4e73ce/thumbnail_001_8e9111c9d33e.jpg,products/ulta_fcea5eea4e73ce/thumbnail_001_8e9111c9d33e.jpg,PENDING_UPLOAD
ulta_3167881470763a,thumbnail,1,https://media.ultainc.com/i/ulta/77002722?w=500&h=500,products/ulta_3167881470763a/thumbnail_001_889ace7db3ca.jpg,products/ulta_3167881470763a/thumbnail_001_889ace7db3ca.jpg,PENDING_UPLOAD
ulta_edb306f3658438,thumbnail,1,https://media.ultainc.com/i/ulta/77002728?w=500&h=500,products/ulta_edb306f3658438/thumbnail_001_80866e3918fb.jpg,products/ulta_edb306f3658438/thumbnail_001_80866e3918fb.jpg,PENDING_UPLOAD
ulta_aba1aa9427e941,thumbnail,1,https://media.ultainc.com/i/ulta/77002780?w=500&h=500,products/ulta_aba1aa9427e941/thumbnail_001_d59c9c46450e.jpg,products/ulta_aba1aa9427e941/thumbnail_001_d59c9c46450e.jpg,PENDING_UPLOAD
ulta_7a2d76d7d36eb4,thumbnail,1,https://media.ultainc.com/i/ulta/77002891?w=500&h=500,products/ulta_7a2d76d7d36eb4/thumbnail_001_d30c0fe7df63.jpg,products/ulta_7a2d76d7d36eb4/thumbnail_001_d30c0fe7df63.jpg,PENDING_UPLOAD
ulta_7f711d1f8b5aea,thumbnail,1,https://media.ultainc.com/i/ulta/77002897?w=500&h=500,products/ulta_7f711d1f8b5aea/thumbnail_001_321998e8b30e.jpg,products/ulta_7f711d1f8b5aea/thumbnail_001_321998e8b30e.jpg,PENDING_UPLOAD
ulta_31dbf0c8264cf0,thumbnail,1,https://media.ultainc.com/i/ulta/77002902?w=500&h=500,products/ulta_31dbf0c8264cf0/thumbnail_001_b8c763155aca.jpg,products/ulta_31dbf0c8264cf0/thumbnail_001_b8c763155aca.jpg,PENDING_UPLOAD
ulta_5d5d2fb2685fb4,thumbnail,1,https://media.ultainc.com/i/ulta/77002906?w=500&h=500,products/ulta_5d5d2fb2685fb4/thumbnail_001_fa3657f24ac0.jpg,products/ulta_5d5d2fb2685fb4/thumbnail_001_fa3657f24ac0.jpg,PENDING_UPLOAD
ulta_23312a6e81e07c,thumbnail,1,https://media.ultainc.com/i/ulta/77002931?w=500&h=500,products/ulta_23312a6e81e07c/thumbnail_001_f2e3e36d8396.jpg,products/ulta_23312a6e81e07c/thumbnail_001_f2e3e36d8396.jpg,PENDING_UPLOAD
ulta_f6f6640ba172fc,thumbnail,1,https://media.ultainc.com/i/ulta/77002968?w=500&h=500,products/ulta_f6f6640ba172fc/thumbnail_001_ee9dd077b631.jpg,products/ulta_f6f6640ba172fc/thumbnail_001_ee9dd077b631.jpg,PENDING_UPLOAD
