product_id,brand,product_name,category,is_recommendable,review_count,avg_rating,month_review_count,month_review_rate,repurchase_count,repurchase_rate,photo_review_count,photo_review_rate,profile_review_count,profile_review_rate,avg_helpful_count,top_skin_types,top_skin_tones,top_skin_troubles,review_confidence
prod_oy_a000000166511,파넬,[1등 진정세럼] 파넬 시카마누 92세럼30ml,serum,true,2502,4.695,2502,1.0000,265,0.1059,319,0.1275,818,0.3269,28.025,복합성:293;건성:168;지성:132;민감성:109;트러블성:80,여름쿨톤:203;봄웜톤:163;쿨톤:123;웜톤:110;가을웜톤:84,트러블:364;잡티:299;미백:216;블랙헤드:122;각질:115,high
ulta_cd87cef74265a1,fresh,Rose & Squalane Deep Hydration Oil-Infused Serum,serum,true,2490,4.710,0,0.0000,0,0.0000,0,0.0000,1,0.0004,0.352,중성:1,,,high
ulta_defc36884ff1c1,Vichy,Mineral 89 Prebiotic Face Serum,serum,true,2487,4.628,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.121,,,,high
lookfantastic_c77724aa9dafba,Wella Professionals Care,Wella Professionals Care Ultimate Repair Protective Leave-in Cream 95ml,cream,true,2478,4.698,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.000,,,,high
dermstore_92248cd6da5eeb,La Roche-Posay,La Roche-Posay Hyalu B5 Hyaluronic Acid Serum (Various Sizes),serum,true,2473,4.433,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.004,,,,high
lookfantastic_1dfdf04b7ced17,The INKEY List,Drunk Elephant Protini Polypeptide Cream Midi 15ml,cream,true,2466,4.644,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.000,,,,high
ulta_00a3c99d333339,Innersense Organic Beauty,Hydrating Cream Hairbath - 2.0 oz,cream,true,2449,4.363,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.546,,,,high
ulta_0791322aaa06b6,Innersense Organic Beauty,Hydrating Cream Hairbath - 32.0 oz (Refill),cream,true,2449,4.363,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.546,,,,high
ulta_fe33679e15a2d0,Innersense Organic Beauty,Hydrating Cream Hairbath - 10.0 oz,cream,true,2449,4.363,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.546,,,,high
prod_oy_a000000254111,이니스프리,[1+1/파우치증정] 이니스프리 비타민C 그린티 엔자임 세럼 30ml 리필 기획 토이 스토리 5 에디션,serum,true,2434,4.804,2434,1.0000,321,0.1319,401,0.1647,966,0.3969,9.545,복합성:357;건성:251;지성:141;민감성:104;트러블성:47,웜톤:216;쿨톤:182;여름쿨톤:175;봄웜톤:167;겨울쿨톤:88,잡티:397;미백:293;트러블:227;주름:134;블랙헤드:123,high
lookfantastic_0db6f8f61d24ae,Lancôme,Lancôme Renergie Collagen Lift-Xtend Cream 50ml,cream,true,2412,4.500,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.001,,,,high
prod_oy_a000000210417,헤브블루,[증정기획] 헤브블루 살몬 PDRN 센텔라 크림 100ml 기획 (+연어 토너 25ml),cream,true,2411,4.840,2411,1.0000,493,0.2045,318,0.1319,873,0.3621,17.087,복합성:331;건성:225;지성:123;민감성:119;트러블성:43,쿨톤:228;여름쿨톤:171;봄웜톤:136;웜톤:125;가을웜톤:83,잡티:458;미백:265;트러블:229;주름:134;각질:86,high
prod_oy_a000000244987,메디힐,[1+1] 메디힐 마데카소사이드 흔적 리페어 더마크림 50+50ml 더블 기획,cream,true,2405,4.694,2405,1.0000,281,0.1168,261,0.1085,682,0.2836,27.148,복합성:270;건성:141;지성:121;민감성:73;트러블성:49,여름쿨톤:157;웜톤:138;쿨톤:134;봄웜톤:98;가을웜톤:75,잡티:256;트러블:256;미백:188;각질:107;블랙헤드:103,high
prod_oy_a000000228804,토리든,[단독기획] 토리든 밸런스풀 시카 컨트롤 세럼 50ml 기획 (+크림 20ml),serum,true,2401,4.657,2401,1.0000,217,0.0904,258,0.1075,672,0.2799,1.014,복합성:261;지성:143;건성:111;민감성:61;트러블성:58,여름쿨톤:166;봄웜톤:134;웜톤:101;쿨톤:98;가을웜톤:66,트러블:313;잡티:244;블랙헤드:138;미백:136;각질:87,high
dermstore_2331fc9de77dfb,La Roche-Posay,La Roche-Posay Lipikar AP+MAX Triple Repair Moisturizing Cream (6.67 fl. oz.),cream,true,2398,4.561,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.000,,,,high
ulta_3b127859736930,Kiehl's Since 1851,Midnight Recovery Concentrate - 3.4 oz,serum,true,2383,4.555,0,0.0000,0,0.0000,0,0.0000,21,0.0088,2.234,복합성:9;건성:6;중성:3;지성:3,,,high
ulta_806c68da3a7275,Kiehl's Since 1851,Midnight Recovery Concentrate - 1.0 oz,serum,true,2383,4.555,0,0.0000,0,0.0000,0,0.0000,21,0.0088,2.234,복합성:9;건성:6;중성:3;지성:3,,,high
ulta_c444ec122714c5,Kiehl's Since 1851,Midnight Recovery Concentrate - 0.5 oz,serum,true,2383,4.555,0,0.0000,0,0.0000,0,0.0000,21,0.0088,2.234,복합성:9;건성:6;중성:3;지성:3,,,high
ulta_eef632dbabc277,Kiehl's Since 1851,Midnight Recovery Concentrate - 1.7 oz,serum,true,2383,4.555,0,0.0000,0,0.0000,0,0.0000,21,0.0088,2.234,복합성:9;건성:6;중성:3;지성:3,,,high
prod_oy_a000000171829,바이오더마,바이오더마 아토덤 인텐시브 밤 500ml,cream,true,2372,4.771,2372,1.0000,259,0.1092,353,0.1488,629,0.2652,2.747,복합성:223;건성:184;지성:76;민감성:75;트러블성:30,웜톤:170;쿨톤:159;여름쿨톤:91;봄웜톤:70;가을웜톤:58,잡티:207;트러블:170;미백:167;각질:116;민감성:89,high
prod_oy_a000000145576,라운드랩,[저자극] 라운드랩 1025 독도 로션 200ml 기획 (+50ml),lotion,true,2365,4.767,2365,1.0000,181,0.0765,242,0.1023,460,0.1945,0.944,복합성:191;건성:94;지성:89;민감성:37;트러블성:26,웜톤:119;쿨톤:101;여름쿨톤:70;봄웜톤:66;가을웜톤:33,트러블:176;잡티:157;미백:111;각질:86;블랙헤드:71,high
lookfantastic_b9fdb65d5e71d2,Medik8,Medik8 Crystal Retinal 3 Serum 30ml,serum,true,2355,4.702,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.006,,,,high
prod_oy_a000000012809,피지오겔,피지오겔 DMT 데일리 보습 페이셜 로션 200ml,lotion,true,2355,4.811,2355,1.0000,377,0.1601,321,0.1363,410,0.1741,0.969,복합성:201;건성:97;지성:51;민감성:33;트러블성:10,웜톤:134;쿨톤:134;여름쿨톤:61;봄웜톤:26;가을웜톤:23,잡티:167;트러블:130;미백:116;주름:62;블랙헤드:57,high
