ingredient_id,name_ko,name_en,description,source_url
foreign_pending_e7f031a5f91c,Chlorphenesin. Retinal Emulsion (15ml): Aqua (Water),Chlorphenesin. Retinal Emulsion (15ml): Aqua (Water),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e7f2666144d4,CI 16185,CI 16185,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e7f329ec7b3d,Citrus Junos (Yuzu) Peel Oil,Citrus Junos (Yuzu) Peel Oil,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e7f676fea75f,Actindia Chinensis (Kiwi) Fruit Powder,Actindia Chinensis (Kiwi) Fruit Powder,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e7f6fdca0150,Stearic Acid (skin-softening emollient),Stearic Acid (skin-softening emollient),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e7f70a6a098b,Chlorphenesin (Preservative),Chlorphenesin (Preservative),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e7f8b13cd196,Egf (Barley Sh-oligopeptide-1). Hydrating Cream (5ml): Water (Aqua),Egf (Barley Sh-oligopeptide-1). Hydrating Cream (5ml): Water (Aqua),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8001021eb21,Perfume / Fragrance. Night Cream: Aqua / Water / Eau,Perfume / Fragrance. Night Cream: Aqua / Water / Eau,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8002c169040,Wood,Wood,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e800534a9548,Lycium Barbarum Fruit Extract. Pekee Bar,Lycium Barbarum Fruit Extract. Pekee Bar,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e80066adcf26,Sorbitan Palmitate. Sorbitan Laurate,Sorbitan Palmitate. Sorbitan Laurate,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e80067d22d46,Octapeptide-2. RevitaLash Length Define Tubing Mascara (5ml): Aqua/Water/Eau,Octapeptide-2. RevitaLash Length Define Tubing Mascara (5ml): Aqua/Water/Eau,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8054b7d2aae,Vegetable Glycerin*.*Certified organic ingredient Clear Skin Probiotic Masque: Organic Phytonutrient Blend TM [Aloe Barbadensis (Aloe) Juice,Vegetable Glycerin*.*Certified organic ingredient Clear Skin Probiotic Masque: Organic Phytonutrient Blend TM [Aloe Barbadensis (Aloe) Juice,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e806f3d5742e,Lauryl Dimethicone,Lauryl Dimethicone,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e808f1052959,Coriandrum Sativum (Coriander) Leaf Oil,Coriandrum Sativum (Coriander) Leaf Oil,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e80fc4f87ae8,Limonene. Rapid Mist: Aqua (Purified Water),Limonene. Rapid Mist: Aqua (Purified Water),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e811f77bd4d5,Sodium Tetrahydrojasmonate,Sodium Tetrahydrojasmonate,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8130ebbcce2,Madecassic Acid. LANEIGE Water Bank Blue Hyaluronic Cream Moisturiser (20ml): Water / Aqua / Eau,Madecassic Acid. LANEIGE Water Bank Blue Hyaluronic Cream Moisturiser (20ml): Water / Aqua / Eau,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8147ea6d5f3,s: Avobenzone,s: Avobenzone,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e81831a259b4,Isopropyl Alcohol,Isopropyl Alcohol,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e81a75c9d06b,C1 14700. Ci 19140,C1 14700. Ci 19140,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e81b721ff08c,Punica Granatum (Pomegranate) Seed Extract,Punica Granatum (Pomegranate) Seed Extract,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e824934211e9,D-limonene˚. Bespokely Botaniques,D-limonene˚. Bespokely Botaniques,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e82847fb4072,Lactic Acid (Vegan),Lactic Acid (Vegan),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e82866b951b2,Acmella Oleracea (Paracress) Flower/Leaf/Stem Extract,Acmella Oleracea (Paracress) Flower/Leaf/Stem Extract,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e82f0fef4b57,Vitis Vinifera (Grape) Seed Extract Saccharide Isomerate,Vitis Vinifera (Grape) Seed Extract Saccharide Isomerate,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e83105b876cc,Avena Sativa (Oat) Kernel Extract (Oat Ceramides),Avena Sativa (Oat) Kernel Extract (Oat Ceramides),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8311a3f00cd,Titanium Dioxide (CI 77891). Eleganza: Talc,Titanium Dioxide (CI 77891). Eleganza: Talc,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e831c699afbc,Carthamus Tinctorius Oil,Carthamus Tinctorius Oil,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8349f2ecebb,Lemon Grass EO (Cymbopogon Flexuosus Oil),Lemon Grass EO (Cymbopogon Flexuosus Oil),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e839f9665829,Hydrogenated Palm Glycerides Citrate. Omega Water Cream (50ml): Water (Aqua / Eau),Hydrogenated Palm Glycerides Citrate. Omega Water Cream (50ml): Water (Aqua / Eau),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e83b7e010fd6,Wild Plum Juice,Wild Plum Juice,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e83c0ceafd74,Ci 77007 / Ultramarines. Rose Gold Illuminating Eye Mask - Aqua/Water/Eau,Ci 77007 / Ultramarines. Rose Gold Illuminating Eye Mask - Aqua/Water/Eau,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e83c39b9f55d,Tilia Platyphyllos (Linden) Flower Extract,Tilia Platyphyllos (Linden) Flower Extract,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e83c405efc84,Saccharum Officinarum (Sugar Cane) Stalk Extract¹,Saccharum Officinarum (Sugar Cane) Stalk Extract¹,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e84002005d84,Tripeptide-1 Moisturiser: Water (Aqua/Eau),Tripeptide-1 Moisturiser: Water (Aqua/Eau),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8423bf3059e,Seaside Eringo Callus Culture Filtrate,Seaside Eringo Callus Culture Filtrate,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e843f7beb51d,styrene/acrylates copolymer,styrene/acrylates copolymer,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e84614ae52f7,Eucalyptus Globulus Extract,Eucalyptus Globulus Extract,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e847243c26f2,Rice Ferment (Sake),Rice Ferment (Sake),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8472bdde5a0,Rosmarinus Officinalis (Rosemary) Leaf Extract. *Essential Oils,Rosmarinus Officinalis (Rosemary) Leaf Extract. *Essential Oils,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e84839132625,Flavour (Nat),Flavour (Nat),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e84876d16c9b,Baptisia Tinctoria Root Extract,Baptisia Tinctoria Root Extract,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e84bd26e95c0,[+/- Ci 45410 (Red 27,[+/- Ci 45410 (Red 27,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e84c3f19fdb3,Preservative (Potassium Sorbate,Preservative (Potassium Sorbate,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e84d68d70279,Potassium Sorbate. The INKEY List 360 Skin Clearing Serum (30ml): Aqua (Water),Potassium Sorbate. The INKEY List 360 Skin Clearing Serum (30ml): Aqua (Water),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e84fee83e809,Silicon Dioxide E551. Sodium Ascorbate E301,Silicon Dioxide E551. Sodium Ascorbate E301,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e851e5c9a1ee,Organic Cacao Powder,Organic Cacao Powder,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8542cc3e42f,Tropafolum Flower Leaf,Tropafolum Flower Leaf,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e85585746e23,Linalool \*. \* Derived naturally from essential oils. \*\* Vegetable Origin. Day Cream: Aqua (Water),Linalool \*. \* Derived naturally from essential oils. \*\* Vegetable Origin. Day Cream: Aqua (Water),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e856875e925d,Agave Americana Leaf Extract,Agave Americana Leaf Extract,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e85885f5c2bd,Ethylhexylglycerin. Juice Box Lip Tint in Jazzy Jam (4.5g): Diisostearyl Malate,Ethylhexylglycerin. Juice Box Lip Tint in Jazzy Jam (4.5g): Diisostearyl Malate,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e858e6f8d52b,Iron Oxides (CI 77491). Living Luminizer: *Ricinus Communis (Castor) Seed Oil,Iron Oxides (CI 77491). Living Luminizer: *Ricinus Communis (Castor) Seed Oil,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
