ingredient_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,effect_score,score_origin,score_basis,official_signal_strength,official_signal_functions,paper_evidence_class,paper_key,evidence_score,runtime_score_active,human_approval_gate_used,full_text_gate_used
207,asiaticoside,아시아티코사이드,Asiaticoside,effect_wrinkle,주름·탄력,70,ai_paper_override,paper_primary:70,,,primary,RISS:3c639e159ba37097ffe0bdc3ef48d419,50,Y,N,N
209,glycol_distearate,글라이콜다이스테아레이트,Glycol Distearate,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
210,menthol,멘톨,Menthol,effect_calming,진정,33,official_function_prior,legacy_axis_floor:33,high,SOOTHING,,,0,Y,N,N
214,cyclohexasiloxane,사이클로헥사실록세인,Cyclohexasiloxane,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
215,methicone,메티콘,Methicone,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
218,sucrose,수크로오스,Sucrose,effect_calming,진정,33,official_function_prior,legacy_axis_floor:33,high,SOOTHING,,,0,Y,N,N
218,sucrose,수크로오스,Sucrose,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT,,,0,Y,N,N
224,glutamic_acid,글루타믹애씨드,Glutamic Acid,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT,,,0,Y,N,N
230,curcuma_longa_turmeric_root_extract,울금뿌리추출물,Curcuma Longa (Turmeric) Root Extract,effect_acne_sebum,여드름·피지,50,ai_paper_override,paper_supporting:50,,,supporting,DOI:10.4314/tjpr.v12i5.1,35,Y,N,N
231,bis_diglyceryl_polyacyladipate_2,비스-다이글리세릴폴리아실아디페이트-2,Bis-Diglyceryl Polyacyladipate-2,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
233,talc,탤크,Talc,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN PROTECTING,,,0,Y,N,N
235,sodium_hyaluronate_crosspolymer,소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT,,,0,Y,N,N
236,saccharide_isomerate,사카라이드아이소머레이트,Saccharide Isomerate,effect_calming,진정,35,ai_paper_override,paper_limited_medical:35,,,limited_medical,PMID:41211697,25,Y,N,N
236,saccharide_isomerate,사카라이드아이소머레이트,Saccharide Isomerate,effect_moisture_barrier,보습·장벽,35,official_function_prior+ai_paper_override,"max(official_prior:32,paper_limited_medical:35)",high,HUMECTANT,limited_medical,PMID:41211697,25,Y,N,N
241,tribehenin,트라이베헤닌,Tribehenin,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
246,hydrogenated_polydecene,하이드로제네이티드폴리데센,Hydrogenated Polydecene,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
248,sodium_acetylated_hyaluronate,소듐아세틸레이티드하이알루로네이트,Sodium Acetylated Hyaluronate,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT,,,0,Y,N,N
248,sodium_acetylated_hyaluronate,소듐아세틸레이티드하이알루로네이트,Sodium Acetylated Hyaluronate,effect_wrinkle,주름·탄력,70,ai_paper_override,paper_primary:70,,,primary,PMID:34708918,50,Y,N,N
249,sodium_phosphate,소듐포스페이트,Sodium Phosphate,effect_acne_sebum,여드름·피지,40,official_function_prior,legacy_axis_floor:40,high,ANTI-SEBORRHEIC,,,0,Y,N,N
252,asiatic_acid,아시아틱애씨드,Asiatic Acid,effect_acne_sebum,여드름·피지,35,ai_paper_override,paper_limited_medical:35,,,limited_medical,DOI:10.58837/chula.the.2023.814,25,Y,N,N
252,asiatic_acid,아시아틱애씨드,Asiatic Acid,effect_brightening,미백·톤,35,ai_paper_override,paper_limited_medical:35,,,limited_medical,PMID:38158144,25,Y,N,N
252,asiatic_acid,아시아틱애씨드,Asiatic Acid,effect_calming,진정,35,ai_paper_override,paper_limited_medical:35,,,limited_medical,DOI:10.58837/chula.the.2023.814,25,Y,N,N
252,asiatic_acid,아시아틱애씨드,Asiatic Acid,effect_moisture_barrier,보습·장벽,35,ai_paper_override,paper_limited_medical:35,,,limited_medical,DOI:10.58837/chula.the.2023.814,25,Y,N,N
252,asiatic_acid,아시아틱애씨드,Asiatic Acid,effect_wrinkle,주름·탄력,35,ai_paper_override,paper_limited_medical:35,,,limited_medical,PMID:38158144,25,Y,N,N
263,silica_silylate,실리카실릴레이트,Silica Silylate,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
274,hydrolyzed_soy_protein,하이드롤라이즈드콩단백질,Hydrolyzed Soy Protein,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT,,,0,Y,N,N
277,octyldodecyl_stearoyl_stearate,옥틸도데실스테아로일스테아레이트,Octyldodecyl Stearoyl Stearate,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
282,moringa_oleifera_seed_oil,드럼스틱씨오일,Moringa Oleifera Seed Oil,effect_moisture_barrier,보습·장벽,70,official_function_prior+ai_paper_override,"max(official_prior:30,paper_primary:70)",medium,SKIN CONDITIONING - EMOLLIENT,primary,DOI:10.3390/cosmetics8010002,50,Y,N,N
