product_id,brand,name,category,is_recommendable,recommend_exclude_reason,skin_type_tags,thumbnail_url,image_urls,functional_review_text,functional_cosmetic_status,functional_cosmetic_claims,functional_claim_confidence,functional_claim_basis
ulta_a5d8955f898b1b,BRMUD,Relief Mud Bubble Bath Powder - 6 count,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77005056?w=500&h=500,https://media.ultainc.com/i/ulta/77005056?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_1982508ef1d036,ATWATER,Lip Armor Moisturizing Lip Balm Pack - Buy 3 Get One Free,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77005097?w=500&h=500,https://media.ultainc.com/i/ulta/77005097?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_8b631cfd1a7054,Forte Series,Volumizing Shampoo & Conditioner Set,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005113?w=500&h=500,https://media.ultainc.com/i/ulta/77005113?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_8a664a72bd26da,BRMUD,Atocovery Mud Refresh Body Lotion,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005126?w=500&h=500,https://media.ultainc.com/i/ulta/77005126?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_8279cbcc2a2264,Merythod,Bling Chu Lip Oil 2-Pack - Aurora,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77005213?w=500&h=500,https://media.ultainc.com/i/ulta/77005213?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_50654a6e245ba8,Merythod,Dewy Jelly Lip 2-Pack - Florid,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77005219?w=500&h=500,https://media.ultainc.com/i/ulta/77005219?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_b460d091e4b931,Jack Henry,Deodorant Hinoki Cypress - Blood Orange,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005234?w=500&h=500,https://media.ultainc.com/i/ulta/77005234?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_ff77a5610c638a,Jack Henry,Creamy Shampoo,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005244?w=500&h=500,https://media.ultainc.com/i/ulta/77005244?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_5fb947f394da24,Daeng Gi Meo Ri,Glamo Volume Shampoo,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005281?w=500&h=500,https://media.ultainc.com/i/ulta/77005281?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_09e2d0abb8deae,Daeng Gi Meo Ri,Shampoo for Damaged Hair,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005287?w=500&h=500,https://media.ultainc.com/i/ulta/77005287?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
