after_stage,backend_p95_reduction_ms,before_stage,e2e_avg_reduction_ms,e2e_p95_after_ms,e2e_p95_before_ms,e2e_p95_reduction_ms,e2e_p95_reduction_pct,optimization,rps_after,rps_before,rps_gain_pct
opt1-es-retrieval,39418.84,baseline-v1,28497.69844430542,12796.036619999995,52010.038409999994,39214.001789999995,75.39698679103513,Opt1,1.0818806299012806,0.2568866297429231,321.1510077359661
opt2-precomputed-features,4490.47,opt1-es-retrieval,3264.7391983148273,7766.8737,12796.036619999995,5029.162919999995,39.30250490327213,Opt2,1.6949858892558816,1.0818806299012806,56.6703241013332
opt3-bulk-prefetch,150.4949999999999,opt2-precomputed-features,42.95252141162564,7582.989265,7766.8737,183.88443499999994,2.3675476401785693,Opt3,1.7115306290754217,1.6949858892558816,0.9760989707591915
