query_id,source,ingredient_rank,ingredient_id,name_ko,canonical_name_en,approved_search_terms,term_provenance_json,search_query,query_sha256,query_version,started_at_utc,completed_at_utc,total_hit_count,raw_hit_count,retrieval_cap,retrieved_count,returned_count,pagination_status,retrieval_complete,pagination_complete,searched_at,request_status,request_attempt_count,retry_count,error_type,error_message,api_endpoint,sort_order,query_contract_status,rerun_required,review_status,runtime_score_change,pipeline_version
pubmed:tetrahexyldecyl_ascorbate:7341386b3347bf22,pubmed,272,tetrahexyldecyl_ascorbate,테트라헥실데실아스코베이트,Tetrahexyldecyl Ascorbate,Tetrahexyldecyl Ascorbate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Tetrahexyldecyl Ascorbate""}]","(""Tetrahexyldecyl Ascorbate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",7341386b3347bf227963a8d57b3abcb06448cedd34d85819692a362b408a4a1b,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:24:25Z,2026-07-13T06:24:26Z,13,13,100,13,13,complete,Y,Y,2026-07-13T06:24:26Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:vanillin:5428793a3cee9260,pubmed,273,vanillin,바닐린,Vanillin,Vanillin,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Vanillin""}]","(""Vanillin""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",5428793a3cee9260e0cb0cf4bb873d5049b931553b9e682c018b4f6d6f68e43d,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:24:26Z,2026-07-13T06:24:27Z,165,165,100,100,100,capped_at_retrieval_limit,N,N,2026-07-13T06:24:27Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:hydrolyzed_soy_protein:81a235a2b8ae480a,pubmed,274,hydrolyzed_soy_protein,하이드롤라이즈드콩단백질,Hydrolyzed Soy Protein,Hydrolyzed Soy Protein,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Hydrolyzed Soy Protein""}]","(""Hydrolyzed Soy Protein""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",81a235a2b8ae480a5ab9a656fd43864a3c4d09f6d756a0af980bf3b934e6c1cd,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:24:27Z,2026-07-13T06:24:27Z,2,2,100,2,2,complete,Y,Y,2026-07-13T06:24:27Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:coco_betaine:c98bfdd829dad138,pubmed,275,coco_betaine,코코-베타인,Coco-Betaine,Coco-Betaine,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Coco-Betaine""}]","(""Coco-Betaine""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",c98bfdd829dad13847d554154211616e523f4ffd22eae31ff8b11275585f3377,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:24:27Z,2026-07-13T06:24:28Z,4,4,100,4,4,complete,Y,Y,2026-07-13T06:24:28Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:hdi_trimethylol_hexyllactone_crosspolymer:d98c167c22eaf90d,pubmed,276,hdi_trimethylol_hexyllactone_crosspolymer,에이치디아이/트라이메틸올헥실락톤크로스폴리머,HDI/Trimethylol Hexyllactone Crosspolymer,HDI/Trimethylol Hexyllactone Crosspolymer,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""HDI/Trimethylol Hexyllactone Crosspolymer""}]","(""HDI/Trimethylol Hexyllactone Crosspolymer""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",d98c167c22eaf90d3dd00f4bb73498c048c51961c24fa650d54be68ed8ad6fa7,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:24:28Z,2026-07-13T06:24:29Z,0,0,100,0,0,complete,Y,Y,2026-07-13T06:24:29Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:octyldodecyl_stearoyl_stearate:c5a77b3137fc1578,pubmed,277,octyldodecyl_stearoyl_stearate,옥틸도데실스테아로일스테아레이트,Octyldodecyl Stearoyl Stearate,Octyldodecyl Stearoyl Stearate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Octyldodecyl Stearoyl Stearate""}]","(""Octyldodecyl Stearoyl Stearate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",c5a77b3137fc157819856ac7da82c0d38a7d39329d64609938bf8143b3175ae3,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:24:29Z,2026-07-13T06:24:30Z,2,2,100,2,2,complete,Y,Y,2026-07-13T06:24:30Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:melia_azadirachta_flower_extract:9e5f76f34c03c4d4,pubmed,278,melia_azadirachta_flower_extract,인도멀구슬나무꽃추출물,Melia Azadirachta Flower Extract,Melia Azadirachta Flower Extract,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Melia Azadirachta Flower Extract""}]","(""Melia Azadirachta Flower Extract""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",9e5f76f34c03c4d4969305bd99922f428a94b459eeb09933c169a31dd99bebc7,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:24:30Z,2026-07-13T06:24:31Z,0,0,100,0,0,complete,Y,Y,2026-07-13T06:24:31Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:polybutene:8381ac210a89ebda,pubmed,279,polybutene,폴리부텐,Polybutene,Polybutene,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Polybutene""}]","(""Polybutene""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",8381ac210a89ebda5a89641d63bafc1b18745ba48b7df385f073f1bcb832f617,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:24:31Z,2026-07-13T06:24:31Z,1,1,100,1,1,complete,Y,Y,2026-07-13T06:24:31Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:stearamidopropyl_dimethylamine:0084ff7431d4c9c8,pubmed,280,stearamidopropyl_dimethylamine,스테아라미도프로필다이메틸아민,Stearamidopropyl Dimethylamine,Stearamidopropyl Dimethylamine,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Stearamidopropyl Dimethylamine""}]","(""Stearamidopropyl Dimethylamine""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0084ff7431d4c9c811bd7208dee27c293b60d88f7f5f953f1a3144a5680c1fb0,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:24:31Z,2026-07-13T06:24:32Z,0,0,100,0,0,complete,Y,Y,2026-07-13T06:24:32Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:carthamus_tinctorius_safflower_seed_oil:81af66dbebdac5e5,pubmed,281,carthamus_tinctorius_safflower_seed_oil,잇꽃씨오일,Carthamus Tinctorius (Safflower) Seed Oil,Carthamus Tinctorius (Safflower) Seed Oil,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Carthamus Tinctorius (Safflower) Seed Oil""}]","(""Carthamus Tinctorius (Safflower) Seed Oil""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",81af66dbebdac5e5d3988421640feef18cf7452f289b0d2a4e46c768019f8825,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:24:32Z,2026-07-13T06:24:32Z,0,0,100,0,0,complete,Y,Y,2026-07-13T06:24:32Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
