query_id,source,ingredient_rank,ingredient_id,name_ko,canonical_name_en,approved_search_terms,term_provenance_json,search_query,query_sha256,query_version,started_at_utc,completed_at_utc,total_hit_count,raw_hit_count,retrieval_cap,retrieved_count,returned_count,pagination_status,retrieval_complete,pagination_complete,searched_at,request_status,request_attempt_count,retry_count,error_type,error_message,api_endpoint,sort_order,query_contract_status,rerun_required,http_status,elapsed_ms,review_status,runtime_score_change,pipeline_version,manifest_sha256
crossref:polyglyceryl_3_methylglucose_distearate:615a3dc6e09b16b0,crossref,437,polyglyceryl_3_methylglucose_distearate,폴리글리세릴-3메틸글루코오스다이스테아레이트,Polyglyceryl-3 Methylglucose Distearate,Polyglyceryl-3 Methylglucose Distearate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Polyglyceryl-3 Methylglucose Distearate""}]","(""Polyglyceryl-3 Methylglucose Distearate"") skin topical",615a3dc6e09b16b08a4bb6f54785393ebdc2ee520fa46353a13ffe14b4636dcb,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:43+00:00,2026-07-13T06:31:46+00:00,439785,439785,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:46+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,2619,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:lactobacillus_ferment_lysate:0a968bb7349331ff,crossref,438,lactobacillus_ferment_lysate,락토바실러스발효용해물,Lactobacillus Ferment Lysate,Lactobacillus Ferment Lysate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Lactobacillus Ferment Lysate""}]","(""Lactobacillus Ferment Lysate"") skin topical",0a968bb7349331ff7575ebeddd5d2d62a21027e1cbbe8480949331904022109d,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:45+00:00,2026-07-13T06:31:48+00:00,481587,481587,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:48+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3703,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:propylene_glycol_dicaprylate_dicaprate:9fa899eb03655834,crossref,439,propylene_glycol_dicaprylate_dicaprate,프로필렌글라이콜다이카프릴레이트/다이카프레이트,Propylene Glycol Dicaprylate/Dicaprate,Propylene Glycol Dicaprylate/Dicaprate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Propylene Glycol Dicaprylate/Dicaprate""}]","(""Propylene Glycol Dicaprylate/Dicaprate"") skin topical",9fa899eb03655834be4dadedefcf85395324c443b7a65d501d513581642a0d87,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:45+00:00,2026-07-13T06:31:48+00:00,506960,506960,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:48+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,2626,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:helianthus_annuus_sunflower_seed_extract:5502cc38d136409a,crossref,440,helianthus_annuus_sunflower_seed_extract,해바라기씨추출물,Helianthus Annuus (Sunflower) Seed Extract,Helianthus Annuus (Sunflower) Seed Extract,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Helianthus Annuus (Sunflower) Seed Extract""}]","(""Helianthus Annuus (Sunflower) Seed Extract"") skin topical",5502cc38d136409af894ba2bf87803c7104cfba1a2eaa531c9a62f534f702571,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:46+00:00,2026-07-13T06:31:49+00:00,865500,865500,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:49+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3162,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:algae_extract:856d87be3f7648f9,crossref,441,algae_extract,조류추출물,Algae Extract,Algae Extract,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Algae Extract""}]","(""Algae Extract"") skin topical",856d87be3f7648f96b3195759bfc0ecabc2b51410ed667134cb35880d2bb2a55,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:46+00:00,2026-07-13T06:31:49+00:00,677217,677217,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:49+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3662,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:tridecyl_trimellitate:6fbcc0fea9f02398,crossref,442,tridecyl_trimellitate,트라이데실트라이멜리테이트,Tridecyl Trimellitate,Tridecyl Trimellitate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Tridecyl Trimellitate""}]","(""Tridecyl Trimellitate"") skin topical",6fbcc0fea9f02398a71af2a9978b49e0a67a678bbb7f6eb2ee2dc01ac838d83f,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:48+00:00,2026-07-13T06:31:51+00:00,439641,439641,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:51+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,2614,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:vitis_vinifera_grape_fruit_extract:d9233485de60d78c,crossref,443,vitis_vinifera_grape_fruit_extract,포도추출물,Vitis Vinifera (Grape) Fruit Extract,Vitis Vinifera (Grape) Fruit Extract,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Vitis Vinifera (Grape) Fruit Extract""}]","(""Vitis Vinifera (Grape) Fruit Extract"") skin topical",d9233485de60d78c4b7b6fa6c1052edb55627a3c98c517fccd04970aa8e209c9,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:48+00:00,2026-07-13T06:31:52+00:00,816379,816379,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:52+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3103,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:avena_sativa_oat_kernel_extract:65bede16f3e1c1e6,crossref,444,avena_sativa_oat_kernel_extract,귀리커넬추출물,Avena Sativa (Oat) Kernel Extract,Avena Sativa (Oat) Kernel Extract,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Avena Sativa (Oat) Kernel Extract""}]","(""Avena Sativa (Oat) Kernel Extract"") skin topical",65bede16f3e1c1e69076ee4680cf3c34972228f770279713a231ec40eb0131d6,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:49+00:00,2026-07-13T06:31:52+00:00,776318,776318,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:52+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3143,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:diisopropyl_sebacate:edb19ba5150ead1b,crossref,445,diisopropyl_sebacate,다이아이소프로필세바케이트,Diisopropyl Sebacate,Diisopropyl Sebacate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Diisopropyl Sebacate""}]","(""Diisopropyl Sebacate"") skin topical",edb19ba5150ead1b654cb5a3b39acb88624f4fef978d28809b855305e3a984a6,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:49+00:00,2026-07-13T06:31:52+00:00,442036,442036,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:52+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,2630,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:neopentyl_glycol_diheptanoate:88f86a3e78eeb8e8,crossref,446,neopentyl_glycol_diheptanoate,네오펜틸글라이콜다이헵타노에이트,Neopentyl Glycol Diheptanoate,Neopentyl Glycol Diheptanoate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Neopentyl Glycol Diheptanoate""}]","(""Neopentyl Glycol Diheptanoate"") skin topical",88f86a3e78eeb8e8ea9474916f01f5fa977dfd26eb52ea67a95461af74ac719e,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:50+00:00,2026-07-13T06:31:53+00:00,489172,489172,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:53+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,2624,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:coccinia_indica_fruit_extract:0d3074780c1f25e1,crossref,447,coccinia_indica_fruit_extract,아이비고드열매추출물,Coccinia Indica Fruit Extract,Coccinia Indica Fruit Extract,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Coccinia Indica Fruit Extract""}]","(""Coccinia Indica Fruit Extract"") skin topical",0d3074780c1f25e1a7fb94c673e54cea90b3648578ca227898ed7ac7cd3c6b21,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:52+00:00,2026-07-13T06:31:55+00:00,804955,804955,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:55+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3147,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:erythritol:8cf240a771c19d11,crossref,448,erythritol,에리스리톨,Erythritol,Erythritol,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Erythritol""}]","(""Erythritol"") skin topical",8cf240a771c19d1186c725c1fe8ecfd1e847c89b5ff4f4ff451a571f3e0f86ce,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:52+00:00,2026-07-13T06:31:55+00:00,440990,440990,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:55+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,2633,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:laminaria_saccharina_extract:9d5101888fb05742,crossref,449,laminaria_saccharina_extract,슈가켈프추출물,Laminaria Saccharina Extract,Laminaria Saccharina Extract,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Laminaria Saccharina Extract""}]","(""Laminaria Saccharina Extract"") skin topical",9d5101888fb0574236b5b7870ba9fc0f34bff00d582e8dee8adc592f9490e13f,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:52+00:00,2026-07-13T06:31:55+00:00,639022,639022,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:55+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3129,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:solanum_melongena_eggplant_fruit_extract:a81d7f2be385599d,crossref,450,solanum_melongena_eggplant_fruit_extract,가지열매추출물,Solanum Melongena (Eggplant) Fruit Extract,Solanum Melongena (Eggplant) Fruit Extract,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Solanum Melongena (Eggplant) Fruit Extract""}]","(""Solanum Melongena (Eggplant) Fruit Extract"") skin topical",a81d7f2be385599d757cd595dfc8ebf7f8cafd4707b8e98db71b678f06e733cc,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:53+00:00,2026-07-13T06:31:56+00:00,813791,813791,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:56+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3167,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:helianthus_annuus_sunflower_extract:6c702630f0aac2b4,crossref,451,helianthus_annuus_sunflower_extract,해바라기추출물,Helianthus Annuus (Sunflower) Extract,Helianthus Annuus (Sunflower) Extract,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Helianthus Annuus (Sunflower) Extract""}]","(""Helianthus Annuus (Sunflower) Extract"") skin topical",6c702630f0aac2b42adf38db91c240d75c4ddbab6e920b301a4bc7c403bb0867,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:55+00:00,2026-07-13T06:31:58+00:00,661741,661741,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:58+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3160,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:citrullus_lanatus_watermelon_fruit_extract:bd57ffe883931d4b,crossref,452,citrullus_lanatus_watermelon_fruit_extract,수박추출물,Citrullus Lanatus (Watermelon) Fruit Extract,Citrullus Lanatus (Watermelon) Fruit Extract,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Citrullus Lanatus (Watermelon) Fruit Extract""}]","(""Citrullus Lanatus (Watermelon) Fruit Extract"") skin topical",bd57ffe883931d4babafdc9ca71f93dbf530c932a6f819b0540831fb8646007e,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:31:55+00:00,2026-07-13T06:31:58+00:00,791534,791534,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:31:58+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3648,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
