query_id,source,ingredient_rank,ingredient_id,name_ko,canonical_name_en,approved_search_terms,search_query,query_sha256,query_version,request_status,total_hit_count,raw_hit_count,retrieval_cap,retrieved_count,returned_count,pagination_complete,pagination_status,searched_at,query_contract_status,rerun_required,error_type,error_message,robots_url,robots_fetched_at_utc,robots_sha256,robots_rule,review_status,runtime_score_change,pipeline_version
kci:1_2_hexanediol:fd6752b1d1e42e1a,kci,14,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol","1,2-Hexanediol","[""\""1,2-Hexanediol\"" skin""]",fd6752b1d1e42e1a16cadd3eee889ae52a74d1827bf9cd42297881d685a003e2,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:disodium_edta:e5f96eac6eb3c85b,kci,15,disodium_edta,다이소듐이디티에이,Disodium EDTA,Disodium EDTA,"[""\""Disodium EDTA\"" skin""]",e5f96eac6eb3c85be291a6939938d305925fd3fe565156d6725b6a859d278a63,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:xanthan_gum:d5cebc6b674164b4,kci,16,xanthan_gum,잔탄검,Xanthan Gum,Xanthan Gum,"[""\""Xanthan Gum\"" skin""]",d5cebc6b674164b457d5bf924db4a977be878a1c743f90914dd763d6bf20a9a8,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:tocopheryl_acetate:2a3821421bc9e14b,kci,17,tocopheryl_acetate,토코페릴아세테이트,Tocopheryl Acetate,Tocopheryl Acetate,"[""\""Tocopheryl Acetate\"" skin""]",2a3821421bc9e14b513a980dc1f558fac5ffc3ffb6079bdb4505ac0f8d93fa7f,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:caprylic_capric_triglyceride:1f10e48af97a320c,kci,18,caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,Caprylic/Capric Triglyceride,"[""\""Caprylic/Capric Triglyceride\"" skin""]",1f10e48af97a320cab8cace85bd3cd9e4c97bd5e27a9aed0c3cdf071a6b6347c,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:propanediol:9e12e1af999008a3,kci,19,propanediol,프로판다이올,Propanediol,Propanediol,"[""\""Propanediol\"" skin""]",9e12e1af999008a389832a8e0a3f389528d286959b78746d2f38445372e448ad,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:silica:d635a29f0b7a0793,kci,21,silica,실리카,Silica,Silica,"[""\""Silica\"" skin""]",d635a29f0b7a07936673924c80ca7b3508bde9952a90799cb810749c143884dc,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:sodium_chloride:9faf62ba323f7072,kci,22,sodium_chloride,소듐클로라이드,Sodium Chloride,Sodium Chloride,"[""\""Sodium Chloride\"" skin""]",9faf62ba323f707249896f0552b2170328401443d11acd176328b94e2c83d7d3,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:sodium_hydroxide:4ef7b5cc5f288a08,kci,23,sodium_hydroxide,소듐하이드록사이드,Sodium Hydroxide,Sodium Hydroxide,"[""\""Sodium Hydroxide\"" skin""]",4ef7b5cc5f288a08dca5facc16a865d5223fa030aa03b114e59b6a9c17dd8ccd,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:water:b13e5f751e5e8890,kci,25,water,정제수,Water,Water,"[""\""Water\"" skin""]",b13e5f751e5e8890a72a1882a3932ca3ce45a620fde356dcd6265dfd02c791eb,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
