alias,normalized_alias,previous_canonical_id,new_canonical_id,action,note
비닐다이메티콘,비닐다이메티콘,,vinyl_dimethicone,added,공식 exact identity alias
비닐디메치콘,비닐디메치콘,,vinyl_dimethicone,added,공식 exact identity alias
비스-(아이소스테아로일/올레오일아이소프로필)다이모늄메 토설페이트,비스-(아이소스테아로일/올레오일아이소프로필)다이모늄메토설페이트,,bis_isostearoyl_oleoyl_isopropyl_dimonium_methosulfate,added,공식 exact identity alias
비스-베헤닐/아이소스테아릴/피토스체 릴다이머다이리놀레일다이머다이리놀리에이트,비스-베헤닐/아이소스테아릴/피토스체릴다이머다이리놀레일다이머다이리놀리에이트,,bis_behenyl_isostearyl_phytosteryl_dimer_dilinoleyl_dim_kcia_686,added,공식 exact identity alias
비스-베헤닐/아이소스테아릴/피토스테릴다이머다이리놀레 일다이머다이리놀리에이트,비스-베헤닐/아이소스테아릴/피토스테릴다이머다이리놀레일다이머다이리놀리에이트,,bis_behenyl_isostearyl_phytosteryl_dimer_dilinoleyl_dim_kcia_686,added,공식 exact identity alias
비스-베헤닐/이소스테아릴/피토스테릴다이머디리놀레일다 이머디리놀리에이트,비스-베헤닐/이소스테아릴/피토스테릴다이머디리놀레일다이머디리놀리에이트,,bis_behenyl_isostearyl_phytosteryl_dimer_dilinoleyl_dim_kcia_686,added,공식 exact identity alias
비스-부틸다이메티콘폴리글리세릴-3,비스-부틸다이메티콘폴리글리세릴-3,,bis_butyldimethicone_polyglyceryl_3,added,공식 exact identity alias
비스-부틸디메치콘폴리글리세릴-3,비스-부틸디메치콘폴리글리세릴-3,,bis_butyldimethicone_polyglyceryl_3,added,공식 exact identity alias
비스-세테아릴아모다이메티콘,비스-세테아릴아모다이메티콘,,bis_cetearyl_amodimethicone,added,공식 exact identity alias
비스-세테아릴아모디메치콘,비스-세테아릴아모디메치콘,,bis_cetearyl_amodimethicone,added,공식 exact identity alias
비스-스테아릴다이메티콘,비스-스테아릴다이메티콘,,bis_stearyl_dimethicone,added,공식 exact identity alias
비스-스테아릴디메치콘,비스-스테아릴디메치콘,,bis_stearyl_dimethicone,added,공식 exact identity alias
비스-아미노프로필다이글라이콜다이말리에이트,비스-아미노프로필다이글라이콜다이말리에이트,,bis_aminopropyl_diglycol_dimaleate,added,공식 exact identity alias
비스-에칠(이소스테아릴이미다졸린)이소스테아라마이드,비스-에칠(이소스테아릴이미다졸린)이소스테아라마이드,,bis_ethyl_isostearylimidazoline_isostearamide,added,공식 exact identity alias
비스-에틸(아이소스테아릴이미다졸린)아이소스테아라마이 드,비스-에틸(아이소스테아릴이미다졸린)아이소스테아라마이드,,bis_ethyl_isostearylimidazoline_isostearamide,added,공식 exact identity alias
비스-피이지-15다이메티콘/아이피디아이코폴리머,비스-피이지-15다이메티콘/아이피디아이코폴리머,,bis_peg_15_dimethicone_ipdi_copolymer,added,공식 exact identity alias
비스-피이지/피피지-14/14다이메티콘,비스-피이지/피피지-14/14다이메티콘,,bis_peg_ppg_14_14_dimethicone,added,공식 exact identity alias
비스-피이지/피피지-14/14디메치콘,비스-피이지/피피지-14/14디메치콘,,bis_peg_ppg_14_14_dimethicone,added,공식 exact identity alias
비스-하이드록시에톡시프로필다이메티콘/아이피디아이코 폴리머에틸카바메이트,비스-하이드록시에톡시프로필다이메티콘/아이피디아이코폴리머에틸카바메이트,,bis_hydroxyethoxypropyl_dimethicone_ipdi_copolymer_ethy_kcia_717,added,공식 exact identity alias
비스-하이드록시에톡시프로필디메치콘/아이피디아이코폴 리머에칠카바메이트,비스-하이드록시에톡시프로필디메치콘/아이피디아이코폴리머에칠카바메이트,,bis_hydroxyethoxypropyl_dimethicone_ipdi_copolymer_ethy_kcia_717,added,공식 exact identity alias
비스머스옥시클로라이드,비스머스옥시클로라이드,,bismuth_oxychloride,added,공식 exact identity alias
비즈왁스,비즈왁스,,beeswax,added,공식 exact identity alias
비치스트로베리추출물,비치스트로베리추출물,,fragaria_chiloensis_strawberry_fruit_extract,added,공식 exact identity alias
비타민나무씨오일,비타민나무씨오일,,hippophae_rhamnoides_seed_oil,added,공식 exact identity alias
비타민나무열매오일,비타민나무열매오일,,hippophae_rhamnoides_fruit_oil,added,공식 exact identity alias
비타민나무열매추출물,비타민나무열매추출물,,hippophae_rhamnoides_fruit_extract,added,공식 exact identity alias
비타민나무오일,비타민나무오일,,hippophae_rhamnoides_oil,added,공식 exact identity alias
비터오렌지껍질오일,비터오렌지껍질오일,,citrus_aurantium_amara_bitter_orange_peel_oil,added,공식 exact identity alias
비터오렌지꽃오일,비터오렌지꽃오일,,citrus_aurantium_amara_bitter_orange_flower_oil,added,공식 exact identity alias
비터오렌지꽃추출물,비터오렌지꽃추출물,,citrus_aurantium_amara_bitter_orange_flower_extract,added,공식 exact identity alias
비터오렌지잎/잔가지오일,비터오렌지잎/잔가지오일,,citrus_aurantium_amara_bitter_orange_leaf_twig_oil,added,공식 exact identity alias
비트레오스실라발효물,비트레오스실라발효물,,vitreoscilla_ferment,added,공식 exact identity alias
비트레오실라발효물,비트레오실라발효물,,vitreoscilla_ferment,added,공식 exact identity alias
비트뿌리추출물,비트뿌리추출물,,beta_vulgaris_beet_root_extract,added,공식 exact identity alias
비파나무잎추출물,비파나무잎추출물,,eriobotrya_japonica_leaf_extract,added,공식 exact identity alias
비피다발효여과물,비피다발효여과물,,bifida_ferment_filtrate,added,공식 exact identity alias
비피다발효용해물,비피다발효용해물,,bifida_ferment_lysate,added,공식 exact identity alias
빅사씨추출물,빅사씨추출물,,bixa_orellana_seed_extract,added,공식 exact identity alias
빌베리씨오일,빌베리씨오일,,vaccinium_myrtillus_seed_oil,added,공식 exact identity alias
빌베리열매추출물,빌베리열매추출물,,vaccinium_myrtillus_fruit_extract,added,공식 exact identity alias
빌베리잎추출물,빌베리잎추출물,,vaccinium_myrtillus_leaf_extract,added,공식 exact identity alias
빙하수,빙하수,,water,added,공식 exact identity alias
빵효모추출물,빵효모추출물,,saccharomyces_cerevisiae_extract,added,공식 exact identity alias
뽕나무껍질추출물,뽕나무껍질추출물,,morus_alba_bark_extract,added,공식 exact identity alias
뽕나무잎추출물,뽕나무잎추출물,,morus_alba_leaf_extract,added,공식 exact identity alias
사과세포배양추출물,사과세포배양추출물,,malus_domestica_fruit_cell_culture_extract,added,공식 exact identity alias
사과추출물,사과추출물,,malus_domestica_fruit_extract,added,공식 exact identity alias
사라수나무수지,사라수나무수지,,shorea_robusta_resin,added,공식 exact identity alias
사르가숨 필리펜둘라추출물,사르가숨필리펜둘라추출물,,sargassum_filipendula_extract,added,공식 exact identity alias
사발팜열매추출물,사발팜열매추출물,,serenoa_serrulata_fruit_extract,added,공식 exact identity alias
사이아노코발라민,사이아노코발라민,,cyanocobalamin,added,공식 exact identity alias
사이아노코발아민,사이아노코발아민,,cyanocobalamin,added,공식 exact identity alias
사이클로덱스트린,사이클로덱스트린,,cyclodextrin,added,공식 exact identity alias
사이클로메치콘,사이클로메치콘,,cyclomethicone,added,공식 exact identity alias
사이클로메티콘,사이클로메티콘,,cyclomethicone,added,공식 exact identity alias
사이클로테트라실록산,사이클로테트라실록산,,cyclotetrasiloxane,added,공식 exact identity alias
사이클로테트라실록세인,사이클로테트라실록세인,,cyclotetrasiloxane,added,공식 exact identity alias
사철쑥추출물,사철쑥추출물,,artemisia_capillaris_extract,added,공식 exact identity alias
사코신,사코신,,sarcosine,added,공식 exact identity alias
사탕무뿌리추출물,사탕무뿌리추출물,,beta_vulgaris_beet_root_extract,added,공식 exact identity alias
사플라워글루코사이드,사플라워글루코사이드,,safflower_glucoside,added,공식 exact identity alias
사향장미씨오일,사향장미씨오일,,rosa_moschata_seed_oil,added,공식 exact identity alias
산딸기추출물,산딸기추출물,,fragaria_vesca_strawberry_fruit_extract,added,공식 exact identity alias
산수유열매추출물,산수유열매추출물,,cornus_officinalis_fruit_extract,added,공식 exact identity alias
산수유추출물,산수유추출물,,cornus_officinalis_fruit_extract,added,공식 exact identity alias
산자나무씨오일,산자나무씨오일,,hippophae_rhamnoides_seed_oil,added,공식 exact identity alias
산자나무열매오일,산자나무열매오일,,hippophae_rhamnoides_fruit_oil,added,공식 exact identity alias
산자나무열매추출물,산자나무열매추출물,,hippophae_rhamnoides_fruit_extract,added,공식 exact identity alias
산자나무오일,산자나무오일,,hippophae_rhamnoides_oil,added,공식 exact identity alias
산탈올,산탈올,,santalol,added,공식 exact identity alias
살구추출물,살구추출물,,prunus_armeniaca_apricot_fruit_extract,added,공식 exact identity alias
살비아오일,살비아오일,,salvia_officinalis_sage_oil,added,공식 exact identity alias
삼씨오일,삼씨오일,,cannabis_sativa_seed_oil,added,공식 exact identity alias
상백피추출물,상백피추출물,,morus_alba_bark_extract,added,공식 exact identity alias
상엽추출물,상엽추출물,,morus_alba_leaf_extract,added,공식 exact identity alias
상황버섯추출물,상황버섯추출물,,phellinus_linteus_extract,added,공식 exact identity alias
생강오일,생강오일,,zingiber_officinale_ginger_root_oil,added,공식 exact identity alias
서양배추출물,서양배추출물,,pyrus_communis_pear_fruit_extract,added,공식 exact identity alias
서양산딸기추출물,서양산딸기추출물,,rubus_fruticosus_blackberry_fruit_extract,added,공식 exact identity alias
서양산사나무꽃추출물,서양산사나무꽃추출물,,crataegus_monogyna_flower_extract,added,공식 exact identity alias
서양유채/유동오일코폴리머,서양유채/유동오일코폴리머,,brassica_campestris_aleurites_fordi_oil_copolymer,added,공식 exact identity alias
서양유채스테롤,서양유채스테롤,,brassica_campestris_rapeseed_sterols,added,공식 exact identity alias
서양유채씨오일,서양유채씨오일,,brassica_campestris_rapeseed_seed_oil,added,공식 exact identity alias
서양자두씨오일,서양자두씨오일,,prunus_domestica_seed_oil,added,공식 exact identity alias
서양장미꽃수,서양장미꽃수,,rosa_centifolia_flower_water,added,공식 exact identity alias
서양장미꽃추출물,서양장미꽃추출물,,rosa_centifolia_flower_extract,added,공식 exact identity alias
서양호주산달우드오일,서양호주산달우드오일,,fusanus_spicatus_wood_oil,added,공식 exact identity alias
석류과피추출물,석류과피추출물,,punica_granatum_pericarp_extract,added,공식 exact identity alias
석류나무꽃추출물,석류나무꽃추출물,,punica_granatum_flower_extract,added,공식 exact identity alias
석류나무추출물,석류나무추출물,,punica_granatum_extract,added,공식 exact identity alias
