ingredient_id,name_ko,name_en,product_row_count,product_count,current_effect_ids,current_risk_types,cosing_match_status,cosing_inci_name,cosing_functions,cosing_restrictions,cosing_sccs_opinion_count,effect_signal_ids,effect_signal_basis,role_effect_candidate,role_formulation,role_risk_review,role_general_other,role_unresolved,research_priority,classification_status,classification_note,source_url,source_fetched_on
hydrolyzed_collagen,하이드롤라이즈드콜라겐,Hydrolyzed Collagen,1544,1544,,,exact_name,HYDROLYZED COLLAGEN,ANTISTATIC|FILM FORMING|HAIR CONDITIONING|HUMECTANT|SKIN CONDITIONING|SKIN CONDITIONING - EMOLLIENT,,0,,,N,Y,N,N,N,not_selected,not_selected,인체 국소 PubMed 사전검사 미통과,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
vinyl_dimethicone_methicone_silsesquioxane_crosspolymer,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,1532,1529,,,exact_name,VINYL DIMETHICONE/METHICONE SILSESQUIOXANE CROSSPOLYMER,VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
sucrose,수크로오스,Sucrose,1524,1520,,,exact_name,SUCROSE,HUMECTANT|SKIN CONDITIONING|SOOTHING,,0,effect_calming,effect_calming:high:SOOTHING,Y,N,N,N,N,P1_initial_evidence,candidate_unverified,CosIng 직접 신호 또는 인체 국소 PubMed 사전검사 통과 후보이며 논문 근거나 점수 승인은 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
ethylhexyl_methoxycinnamate,에칠헥실메톡시신나메이트,Ethylhexyl Methoxycinnamate,1521,1519,,,exact_name,ETHYLHEXYL METHOXYCINNAMATE,LIGHT STABILIZER|UV ABSORBER|UV FILTER,VI/12,0,,,N,Y,Y,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
potassium_cetyl_phosphate,포타슘세틸포스페이트,Potassium Cetyl Phosphate,1517,1517,,,exact_name,POTASSIUM CETYL PHOSPHATE,SURFACTANT - CLEANSING|SURFACTANT - EMULSIFYING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
sorbitan_oleate,솔비탄올리에이트,Sorbitan Oleate,1507,1507,,,exact_name,SORBITAN OLEATE,SURFACTANT - EMULSIFYING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
glyceryl_stearate_se,글리세릴스테아레이트에스이,Glyceryl Stearate SE,1500,1500,,,exact_name,GLYCERYL STEARATE SE,SURFACTANT - EMULSIFYING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
methyl_methacrylate_crosspolymer,메틸메타크릴레이트크로스폴리머,Methyl Methacrylate Crosspolymer,1486,1479,,,exact_name,METHYL METHACRYLATE CROSSPOLYMER,FILM FORMING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
methyl_trimethicone,메틸트라이메티콘,Methyl Trimethicone,1482,1473,,,exact_name,METHYL TRIMETHICONE,HAIR CONDITIONING|SKIN CONDITIONING - MISCELLANEOUS|SOLVENT,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
butyloctyl_salicylate,부틸옥틸살리실레이트,Butyloctyl Salicylate,1477,1471,,,exact_name,BUTYLOCTYL SALICYLATE,HAIR CONDITIONING|SKIN CONDITIONING|SOLVENT,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
