cohort,ingredient_id,name_ko,name_en,product_count,raw_pubmed_hit_count,representative_paper_count,benefit_candidate_count,uncertain_effect_count,conflict_or_zero_candidate_count,mechanism_support_count,risk_candidate_count,safety_signal_count,new_effect_candidate_count,formulation_paper_count,reference_paper_count,best_benefit_tier,candidate_effect_ids,candidate_new_effects,candidate_pmids,score_eligibility_decision,recommended_runtime_use,can_change_benefit_score_now,review_status,runtime_score_change
raw_hit_190,polyglyceryl_10_laurate,폴리글리세릴-10라우레이트,Polyglyceryl-10 Laurate,2178,2,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,peg_40_hydrogenated_castor_oil,피이지-40하이드로제네이티드캐스터오일,PEG-40 Hydrogenated Castor Oil,2164,8,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,tetrasodium_edta,테트라소듐이디티에이,Tetrasodium EDTA,2163,3,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,lactobacillus_ferment,락토바실러스발효물,Lactobacillus Ferment,2124,2,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,bisabolol,비사보롤,Bisabolol,2108,50,3,0,0,0,0,1,3,0,2,0,,,,20137740|20199429|21504695,full_text_risk_penalty_review,risk_only_after_full_text_and_human_approval,N,candidate_unverified,none
raw_hit_190,sodium_stearoyl_glutamate,소듐스테아로일글루타메이트,Sodium Stearoyl Glutamate,2093,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,glucose,글루코오스,Glucose,2086,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,c12_15_alkyl_benzoate,C12-15알킬벤조에이트,C12-15 Alkyl Benzoate,2065,4,1,0,0,0,0,0,1,0,0,0,,,,25943945,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,isopropyl_myristate,아이소프로필미리스테이트,Isopropyl Myristate,2061,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,biotin,바이오틴,Biotin,2057,50,1,0,0,0,0,0,1,0,0,0,,,,37749781,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,stearic_acid,스테아릭애씨드,Stearic Acid,2046,50,1,0,0,0,0,0,0,0,1,0,,,,,formulation_only_no_ingredient_score,no_single_ingredient_benefit_score,N,candidate_unverified,none
raw_hit_190,amodimethicone,아모다이메티콘,Amodimethicone,1991,2,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,acrylates_copolymer,아크릴레이트코폴리머,Acrylates Copolymer,1981,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,isohexadecane,아이소헥사데칸,Isohexadecane,1980,10,1,0,0,0,0,0,1,0,0,0,,,,15186389,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,proline,프롤린,Proline,1959,50,3,0,0,0,0,0,1,0,0,1,,,,36376455,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,ricinus_communis_castor_seed_oil,피마자씨오일,Ricinus Communis (Castor) Seed Oil,1949,2,1,0,0,0,0,0,1,0,0,0,,,,40932363,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,polyquaternium_10,폴리쿼터늄-10,Polyquaternium-10,1948,9,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,polyquaternium_7,폴리쿼터늄-7,Polyquaternium-7,1935,3,1,0,0,0,0,0,1,0,0,0,,,,11846753,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,potassium_hydroxide,포타슘하이드록사이드,Potassium Hydroxide,1932,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,isononyl_isononanoate,아이소노닐아이소노나노에이트,Isononyl Isononanoate,1929,7,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,xylitol,자일리톨,Xylitol,1921,50,3,0,0,0,0,0,2,0,1,1,,,,26370610|39555956,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,beta_glucan,베타-글루칸,Beta-Glucan,1920,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,jojoba_esters,호호바에스터,Jojoba Esters,1916,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,dimethiconol,다이메티콘올,Dimethiconol,1907,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,alanine,알라닌,Alanine,1897,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,sodium_polyacrylate,소듐폴리아크릴레이트,Sodium Polyacrylate,1875,27,1,0,0,0,0,1,1,0,0,0,,,,39187930,full_text_risk_penalty_review,risk_only_after_full_text_and_human_approval,N,candidate_unverified,none
raw_hit_190,aloe_barbadensis_leaf_extract,알로에베라잎추출물,Aloe Barbadensis Leaf Extract,1871,3,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,dextrin,덱스트린,Dextrin,1868,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,phytosphingosine,피토스핑고신,Phytosphingosine,1863,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,polyglyceryl_4_isostearate,폴리글리세릴-4아이소스테아레이트,Polyglyceryl-4 Isostearate,1858,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,polysilicone_11,폴리실리콘-11,Polysilicone-11,1858,1,1,0,0,0,0,0,1,0,0,0,,,,38471032,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,madecassoside,마데카소사이드,Madecassoside,1855,50,3,0,0,0,0,0,0,0,2,0,,,,,formulation_only_no_ingredient_score,no_single_ingredient_benefit_score,N,candidate_unverified,none
raw_hit_190,coco_glucoside,코코-글루코사이드,Coco-Glucoside,1841,8,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,threonine,트레오닌,Threonine,1832,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,eugenol,유제놀,Eugenol,1823,50,2,0,0,0,0,0,2,0,0,0,,,,9084914|37922503,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,sorbitan_oleate,솔비탄올리에이트,Sorbitan Oleate,1803,8,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,pha,PHA,Polyhydroxy Acids,1801,20,1,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,cellulose_gum,셀룰로오스검,Cellulose Gum,1753,2,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,iron_oxide_red,적색산화철,Iron Oxide Red,1739,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,histidine,히스티딘,Histidine,1733,50,1,0,0,0,0,0,1,0,0,0,,,,37107176,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,disodium_phosphate,다이소듐포스페이트,Disodium Phosphate,1704,33,2,0,0,0,0,0,1,0,2,0,,,,17624252,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,hydrolyzed_collagen,하이드롤라이즈드콜라겐,Hydrolyzed Collagen,1691,50,3,0,0,0,0,0,1,0,2,0,,,,36547800,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,1678,50,3,0,0,0,0,0,1,0,3,1,,,,40682399,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,boron_nitride,보론나이트라이드,Boron Nitride,1674,43,1,0,0,0,0,0,1,0,0,0,,,,26684796,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,aspartic_acid,아스파틱애씨드,Aspartic Acid,1670,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,linalyl_acetate,리날릴아세테이트,Linalyl Acetate,1658,50,1,0,0,0,0,0,1,0,0,0,,,,32386094,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,isostearic_acid,아이소스테아릭애씨드,Isostearic Acid,1655,13,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,cetyl_ethylhexanoate,세틸에틸헥사노에이트,Cetyl Ethylhexanoate,1651,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,phenylalanine,페닐알라닌,Phenylalanine,1634,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,sorbitan_sesquioleate,솔비탄세스퀴올리에이트,Sorbitan Sesquioleate,1624,30,2,0,0,0,0,1,8,0,3,0,,,,17577361|18279159|19134436|24117742|35245949|36255387|36305668|41552910,full_text_risk_penalty_review,risk_only_after_full_text_and_human_approval,N,candidate_unverified,none
representative_180,aminomethyl_propanol,아미노메틸프로판올,Aminomethyl Propanol,1613,4,1,0,0,0,0,0,1,0,0,0,,,,19966147,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,asiaticoside,아시아티코사이드,Asiaticoside,1602,50,2,0,0,0,0,0,0,0,1,0,,,,,formulation_only_no_ingredient_score,no_single_ingredient_benefit_score,N,candidate_unverified,none
representative_180,polysorbate_80,폴리솔베이트80,Polysorbate 80,1601,50,1,0,0,0,0,0,0,0,1,0,,,,,formulation_only_no_ingredient_score,no_single_ingredient_benefit_score,N,candidate_unverified,none
raw_hit_190,glycol_distearate,글라이콜다이스테아레이트,Glycol Distearate,1596,2,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,menthol,멘톨,Menthol,1596,50,2,0,0,0,0,0,0,0,1,0,,,,,formulation_only_no_ingredient_score,no_single_ingredient_benefit_score,N,candidate_unverified,none
raw_hit_190,valine,발린,Valine,1579,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,cyclohexasiloxane,사이클로헥사실록세인,Cyclohexasiloxane,1546,3,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,methicone,메티콘,Methicone,1537,5,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,isoleucine,아이소류신,Isoleucine,1526,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,sucrose,수크로오스,Sucrose,1520,50,1,0,0,0,0,0,0,0,2,0,,,,,formulation_only_no_ingredient_score,no_single_ingredient_benefit_score,N,candidate_unverified,none
representative_180,ethylhexyl_methoxycinnamate,에칠헥실메톡시신나메이트,Ethylhexyl Methoxycinnamate,1519,50,1,0,0,0,0,0,0,0,2,0,,,,,formulation_only_no_ingredient_score,no_single_ingredient_benefit_score,N,candidate_unverified,none
raw_hit_190,potassium_cetyl_phosphate,포타슘세틸포스페이트,Potassium Cetyl Phosphate,1517,2,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,polyethylene,폴리에틸렌,Polyethylene,1516,50,1,0,0,0,0,0,3,0,0,0,,,,7179288|16011869|26191379,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,sodium_gluconate,소듐글루코네이트,Sodium Gluconate,1498,10,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,glutamic_acid,글루타믹애씨드,Glutamic Acid,1483,50,1,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,methyl_methacrylate_crosspolymer,메틸메타크릴레이트크로스폴리머,Methyl Methacrylate Crosspolymer,1479,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,butyloctyl_salicylate,부틸옥틸살리실레이트,Butyloctyl Salicylate,1471,2,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,bis_diglyceryl_polyacyladipate_2,비스-다이글리세릴폴리아실아디페이트-2,Bis-Diglyceryl Polyacyladipate-2,1449,1,1,0,0,0,0,0,1,0,0,0,,,,33576070,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,alcohol_denat,변성알코올,Alcohol Denat.,1444,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,talc,탤크,Talc,1442,50,1,0,0,0,0,0,1,0,0,0,,,,26227892,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,saccharide_isomerate,사카라이드아이소머레이트,Saccharide Isomerate,1433,7,2,0,0,0,0,0,2,0,3,0,,,,41211697|41243164,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,polyglyceryl_3_diisostearate,폴리글리세릴-3다이아이소스테아레이트,Polyglyceryl-3 Diisostearate,1430,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,zinc_stearate,징크스테아레이트,Zinc Stearate,1430,5,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,cellulose,셀룰로오스,Cellulose,1427,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,tribehenin,트라이베헤닌,Tribehenin,1415,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,iron_oxide_black,흑색산화철,Iron Oxide Black,1413,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,ethylhexyl_salicylate,에칠헥실살리실레이트,Ethylhexyl Salicylate,1385,50,1,0,0,0,0,1,3,0,0,0,,,,20233542|25898701|31081128,full_text_risk_penalty_review,risk_only_after_full_text_and_human_approval,N,candidate_unverified,none
raw_hit_190,sodium_cocoyl_isethionate,소듐코코일이세티오네이트,Sodium Cocoyl Isethionate,1375,6,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,sodium_acetylated_hyaluronate,소듐아세틸레이티드하이알루로네이트,Sodium Acetylated Hyaluronate,1371,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,sodium_phosphate,소듐포스페이트,Sodium Phosphate,1370,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,polyisobutene,폴리아이소부텐,Polyisobutene,1354,9,1,0,0,0,0,0,1,0,0,0,,,,19101833,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,asiatic_acid,아시아틱애씨드,Asiatic Acid,1334,50,3,0,0,0,0,0,0,0,1,0,,,,,formulation_only_no_ingredient_score,no_single_ingredient_benefit_score,N,candidate_unverified,none
raw_hit_190,laureth_7,라우레스-7,Laureth-7,1322,4,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,madecassic_acid,마데카식애씨드,Madecassic Acid,1319,32,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,methylparaben,메틸파라벤,Methylparaben,1315,50,1,0,0,0,0,0,3,0,0,0,,,,16487285|19101832|36949725,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
