canonical_brand,alias_brand,source_row_count,source_prefixes,sample_product_codes,confidence,basis,note
Dr Dennis Gross,Dr. Dennis Gross Skincare,32,sephora:32,sephora_d7c61766a8aac4; sephora_4124e975d3ff1c; sephora_ecff4846960196; sephora_0b218b4e9994a6; sephora_4dabf8ecca5a9e; sephora_0415191051525a; sephora_061759d8c66413; sephora_970b59996f89c1; sephora_d21aeef1279b10; sephora_557f58f813ee20,0.90,known_display_alias,"same brand family; alias only, not brand pollution"
Numbuzin,넘버즈인,36,oliveyoung:36,prod_oy_a000000165751; prod_oy_a000000227244; prod_oy_a000000205979; prod_oy_a000000160901; prod_oy_a000000166626; prod_oy_a000000257072; prod_oy_a000000227458; prod_oy_a000000216509; prod_oy_a000000216511; prod_oy_a000000165797,0.90,korean_english_display_alias,Korean/English brand display alias
