qa_area,target_brand,query,product_id,brand,name,rank,lowest_price,image_count,ingredient_count,status,note
brand_search,Numbuzin,Numbuzin,cultbeauty_c469411b123995,Numbuzin,Numbuzin No.1 Pantothenic B5 Active Soothing Serum 50ml,,32800,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,cultbeauty_a0bac82eac275a,Numbuzin,Numbuzin No.3 Super Glowing Essence Toner 200ml,,31300,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,cultbeauty_316e725e3da6a3,Numbuzin,Numbuzin No.5 Vitamin Serum 30ml,,36800,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,cultbeauty_c871dbf7baab84,Numbuzin,Numbuzin No.9 NAD PDRN Glow Boosting Toner 150ml,,31300,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,cultbeauty_aa30dcd148cfa5,Numbuzin,Numbuzin No.1 Clear Filter Sun Essence SPF50+ PA++++ 50ml,,35000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,cultbeauty_8398bd702c92ee,Numbuzin,Numbuzin No.9 NAD Essence 50ml,,47800,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,cultbeauty_a1c5a43d27e8d2,Numbuzin,Numbuzin No.5 Vitamin Boosting Essential Toner 200ml,,31300,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,cultbeauty_c4a62dacb03867,Numbuzin,Numbuzin No.3 Radiance Glowing Jumbo Essence Pad 150ml (70 Pads),,28000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,cultbeauty_4f237416d69431,Numbuzin,Numbuzin No.1 Centella Re-leaf Green Toner Pad 190ml (70 Pads),,29700,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,cultbeauty_f1a82ea8fe4d83,Numbuzin,Numbuzin No.3 Skin Softening Serum 50ml,,32800,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,cultbeauty_084f0eafb56378,Numbuzin,Numbuzin No.1 Pantothenic B5 Active Cream 80ml,,32800,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,lookfantastic_d849a9af4b76ca,Numbuzin,Numbuzin No.3 Super Glowing Essence Toner 200ml,,36000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,lookfantastic_de9a522b714c65,Numbuzin,Numbuzin No.9 NAD PDRN Glow Boosting Toner 150ml,,30600,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,lookfantastic_c4a6f440d0c9fd,Numbuzin,Numbuzin No.1 Centella Re-leaf Green Toner Pad 190ml (70 Pads),,34200,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,lookfantastic_5165e25cddd40e,Numbuzin,Numbuzin No.5 Vitamin Boosting Essential Toner 200ml,,30600,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,lookfantastic_f075ed016188c7,Numbuzin,Numbuzin No.1 Pantothenic B5 Active Cream 80ml,,37800,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,lookfantastic_882ce8ce2b202b,Numbuzin,Numbuzin No.1 Pantothenic B5 Active Soothing Serum 50ml,,36000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,lookfantastic_3e4f230ae12ade,Numbuzin,Numbuzin No.5 Vitamin Serum 30ml,,36000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,lookfantastic_f77fe5a0ed0731,Numbuzin,Numbuzin No.3 Skin Softening Serum 50ml,,37800,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Numbuzin,Numbuzin,ulta_af50d839552cbc,Numbuzin,No.3 Skin Softening Serum,,37200,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,dermstore_44ab691ff82b1d,111SKIN,111SKIN Repair Serum NAC Y2 30ml,,490000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,dermstore_1e8412891644d5,111SKIN,111SKIN Repair Day Cream NAC Y2 50ml,,364000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,dermstore_6d85da547e21ba,111SKIN,111SKIN Repair Serum NAC Y2 15ml,,252000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,dermstore_b6d30cd69cbb68,111SKIN,111SKIN Rose Gold Radiance Booster Serum 20ml,,189000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,dermstore_4d099b5934a18b,111SKIN,111SKIN Cryo Revitalising Moisturiser 50ml,,280000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_45935e8a0a7328,111SKIN,111SKIN Y Theorem Repair Light Serum NAC Y2 (30ml),,441600,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_d210d007a8f952,111SKIN,111SKIN Hyaluronic Acid Aqua Booster 20ml,,165600,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_7d7415a584834e,111SKIN,111SKIN Vitamin C Brightening Booster 20ml,,192000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_2fabdd3de41921,111SKIN,111SKIN Repair Serum NAC Y2 30ml,,478400,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_a18a930706ca79,111SKIN,111SKIN Repair Day Cream NAC Y2 50ml,,336000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_411ea313660c62,111SKIN,111SKIN Repair Serum NAC Y2 15ml,,248400,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_135a82a68f0488,111SKIN,111SKIN Repair Day Cream - Light 50ml,,336000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_fa38f6f3431c9e,111SKIN,111SKIN Repair Night Cream 50ml,,360000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_ea4283fc121ccc,111SKIN,111SKIN Antioxidant Essence 100ml,,136000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_84881334230e83,111SKIN,111SKIN Radiance Glow Face Mist 100ml,,138000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_a78e79857cb964,111SKIN,111SKIN Cryo Revitalising Moisturiser 50ml,,285200,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,cultbeauty_5f2df036cbd676,111SKIN,111SKIN Celestial Black Diamond Essence 100ml,,165600,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,lookfantastic_504f48bcfabbe6,111SKIN,111SKIN Repair Night Cream 50ml,,351000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,lookfantastic_0f7e775a2c5beb,111SKIN,111SKIN Black Diamond Vitamin-C Booster Serum 20ml,,198000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,111SKIN,111SKIN,lookfantastic_d11dd5623beb2a,111SKIN,111SKIN Rose Gold Radiance Booster Serum 20ml,,180000,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Dr Dennis Gross,Dr Dennis Gross,dermstore_2dfcee47b968ac,Dr Dennis Gross,Dr Dennis Gross Alpha Beta Pore Perfecting Refining Serum (1 fl. oz.),,95200,,,pass,브랜드 검색 결과 브랜드 일치 확인
brand_search,Dr Dennis Gross,Dr Dennis Gross,dermstore_928f4825890e33,Dr Dennis Gross,Dr Dennis Gross Hyaluronic Marine Hydration Booster (1 fl. oz.),,100800,,,pass,브랜드 검색 결과 브랜드 일치 확인
