fetched_on,source_url,inci_name,functions_json,restrictions_json,sccs_opinions_json,substance_ids_json
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL TETRAPEPTIDE-5,"[""HUMECTANT""]",[],[],"[""54142""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL TETRAPEPTIDE-9,"[""SKIN CONDITIONING""]",[],[],"[""82737""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL TYROSINE,"[""SKIN CONDITIONING"", ""TANNING""]",[],[],"[""73992""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYLATED GLYCOL STEARATE,"[""EMULSION STABILISING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""73995""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACHILLEA MILLEFOLIUM EXTRACT,"[""ANTI-SEBORRHEIC"", ""CLEANSING"", ""FRAGRANCE"", ""REFRESHING"", ""SKIN CONDITIONING"", ""SOOTHING"", ""TONIC""]",[],[],"[""74009""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACHILLEA MILLEFOLIUM FLOWER EXTRACT,"[""ANTIOXIDANT"", ""HUMECTANT""]",[],[],"[""82268""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACMELLA OLERACEA EXTRACT,"[""SKIN PROTECTING""]",[],[],"[""85212""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACORUS CALAMUS ROOT EXTRACT,"[""PERFUMING"", ""SKIN CONDITIONING""]",[],[],"[""74044""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACORUS GRAMINEUS EXTRACT,"[""HUMECTANT"", ""SKIN CONDITIONING""]",[],[],"[""95112""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER,"[""EMULSION STABILISING"", ""VISCOSITY CONTROLLING""]","[""III/66""]",[],"[""54260""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES COPOLYMER,"[""ANTISTATIC"", ""BINDING"", ""FILM FORMING""]",[],[],"[""31648""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES CROSSPOLYMER-4,"[""EMULSION STABILISING"", ""FILM FORMING"", ""SURFACTANT - CLEANSING"", ""VISCOSITY CONTROLLING""]",[],[],"[""87994""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES/BEHENETH-25 METHACRYLATE COPOLYMER,"[""VISCOSITY CONTROLLING""]",[],[],"[""54266""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,"[""EMULSION STABILISING"", ""FILM FORMING"", ""VISCOSITY CONTROLLING""]",[],[],"[""74162""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES/DIMETHICONE COPOLYMER,"[""ANTICAKING"", ""BINDING"", ""FILM FORMING"", ""SKIN CONDITIONING""]",[],[],"[""74167""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER,"[""FILM FORMING""]",[],[],"[""31659""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES/OCTYLACRYLAMIDE COPOLYMER,"[""FILM FORMING"", ""HAIR FIXING""]",[],[],"[""31660""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES/POLYTRIMETHYLSILOXYMETHACRYLATE COPOLYMER,"[""FILM FORMING"", ""HAIR FIXING"", ""SKIN CONDITIONING""]",[],[],"[""54380""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES/STEARYL ACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,"[""FILM FORMING""]",[],[],"[""54382""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES/STEARYL METHACRYLATE COPOLYMER,"[""EMULSION STABILISING"", ""VISCOSITY CONTROLLING""]",[],[],"[""54384""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLONITRILE/METHYL METHACRYLATE/VINYLIDENE CHLORIDE COPOLYMER,"[""NOT REPORTED""]",[],[],"[""88274""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACTINIDIA CHINENSIS FRUIT EXTRACT,"[""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""74272""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACYL COENZYME A DESATURASE,"[""SKIN CONDITIONING""]",[],[],"[""87190""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ADANSONIA DIGITATA FRUIT EXTRACT,"[""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""83594""]"
