rank,source_ingredient_id,dominant_name,row_count,product_count,cumulative_all_rows_pct,observed_name_count,top_observed_names,observed_names_json,existing_canonical_id,triage_status,triage_note
2138,ing_pending_198bf373ee43,Citrus Unshiu Peel Extract,70,70,23.9145,3,Citrus Unshiu Peel Extract (67) | citrus unshiu peel extract (2) | Citrus Unshiu PeelExtract (1),"[{""name"":""Citrus Unshiu Peel Extract"",""count"":67},{""name"":""citrus unshiu peel extract"",""count"":2},{""name"":""Citrus Unshiu PeelExtract"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2139,ing_pending_2b96cda9f23d,Polyricinoleic Acid,70,70,23.9179,1,Polyricinoleic Acid (70),"[{""name"":""Polyricinoleic Acid"",""count"":70}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2140,ing_pending_2bb77b9723d5,Hemidesmus Indicus (Country Sarsaparilla) Root Powder,70,70,23.9213,3,Hemidesmus Indicus (Country Sarsaparilla) Root Powder (50) | \*Hemidesmus Indicus (Country Sarsaparilla) Root Powder (19) | ¹Hemidesmus Indicus (Country Sarsaparilla) Root Powder (1),"[{""name"":""Hemidesmus Indicus (Country Sarsaparilla) Root Powder"",""count"":50},{""name"":""\\*Hemidesmus Indicus (Country Sarsaparilla) Root Powder"",""count"":19},{""name"":""¹Hemidesmus Indicus (Country Sarsaparilla) Root Powder"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2141,ing_pending_31927090769a,Hydrolyzed Pea Protein PG-Propyl Silanetriol,70,70,23.9247,2,Hydrolyzed Pea Protein PG-Propyl Silanetriol (69) | Hydrolyzed Pea Protein Pg-Propyl Silanetriol (1),"[{""name"":""Hydrolyzed Pea Protein PG-Propyl Silanetriol"",""count"":69},{""name"":""Hydrolyzed Pea Protein Pg-Propyl Silanetriol"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2142,ing_pending_3848bdd9cc63,Sucrose Distearate,70,70,23.9281,1,Sucrose Distearate (70),"[{""name"":""Sucrose Distearate"",""count"":70}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2143,ing_pending_4e231a94e752,크로뮴하이드록사이드그린,70,70,23.9315,2,크로뮴하이드록사이드그린 (66) | 크로뮴하이드록 사이드그린 (4),"[{""name"":""크로뮴하이드록사이드그린"",""count"":66},{""name"":""크로뮴하이드록 사이드그린"",""count"":4}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2144,ing_pending_552dbaeace06,화이트루핀씨추출물,70,70,23.9349,1,화이트루핀씨추출물 (70),"[{""name"":""화이트루핀씨추출물"",""count"":70}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2145,ing_pending_5c832814cb01,Benzyl Alcohol. *Coconut,70,70,23.9383,11,Benzyl Alcohol. *Coconut (24) | Benzyl Alcohol. \*Coconut (17) | Benzyl Alcohol. * Coconut (13) | Benzyl Alcohol * Coconut (4) | Benzyl Alcohol *Coconut (3),"[{""name"":""Benzyl Alcohol. *Coconut"",""count"":24},{""name"":""Benzyl Alcohol. \\*Coconut"",""count"":17},{""name"":""Benzyl Alcohol. * Coconut"",""count"":13},{""name"":""Benzyl Alcohol * Coconut"",""count"":4},{""name"":""Benzyl Alcohol *Coconut"",""count"":3},{""name"":""Benzyl Alcohol \\*Coconut"",""count"":2},{""name"":""Benzyl Alcohol. \\* Coconut"",""count"":2},{""name"":""Benzyl Alcohol\\* \\*Coconut"",""count"":2},{""name"":""Benzyl Alcohol.* *Coconut"",""count"":1},{""name"":""Benzyl Alcohol*. *Coconut"",""count"":1},{""name"":""Benzyl Alcohol \\* Coconut"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2146,ing_pending_60a0e3641d48,C8-12 Acid Triglyceride,70,70,23.9417,1,C8-12 Acid Triglyceride (70),"[{""name"":""C8-12 Acid Triglyceride"",""count"":70}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2147,ing_pending_686248ec48cb,Gluconic Acid,70,70,23.9451,2,Gluconic Acid (69) | gluconic acid (1),"[{""name"":""Gluconic Acid"",""count"":69},{""name"":""gluconic acid"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
