ingredient_id,paper_key,pmid,doi,title,journal,publication_date,publication_types,sources,evidence_tier,evidence_kind,relation_scope,applicability,primary_status,all_statuses,mapped_effect_ids,new_effect_candidates,directions,statistical_support,correction_flag,full_text_status,evidence_spans,status_scope,review_status,runtime_score_change,policy_version
citric_acid,DOI:10.47607/ijresm.2020.334,,10.47607/ijresm.2020.334,"Glycolic Acid, Lactic Acid, Mandelic Acid, Salicylic Acid, Citric Acid, Gluconolactone: Skin Exfoliators in Combination Therapy of Acne Vulgaris","International Journal of Research in Engineering, Science and Management",2020-10-16,journal-article,crossref,4,human_topical_observational_or_use_test,title_exact,combination_or_formulation,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
citric_acid,PMID:40636028,40636028,10.1016/j.mtbio.2025.102003,Thermosensitive polygalacturonic acid glycoprotein hydrogel encapsulating bionic shikonin nanoparticles for the treatment of psoriasis.,Materials today. Bio,2025-06-19,Journal Article,pubmed,6,animal,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
caprylyl_glycol,PMID:42380076,42380076,10.1111/cod.70211,Contact Allergy and Allergic Contact Dermatitis From Propylene Glycol and Related Glycols: Cosmetic Skin Sensitisers After All?,Contact dermatitis,2026-06-30,Journal Article,pubmed,4,human_topical_observational_or_use_test,abstract_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
caprylyl_glycol,PMID:38330048,38330048,10.1371/journal.pone.0297992,MALDI-TOF imaging analysis of benzalkonium chloride penetration in ex vivo human skin.,PloS one,2024-02-08,Journal Article,pubmed,5,ex_vivo_or_artificial_skin,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
caprylyl_glycol,DOI:10.1016/j.ijpharm.2019.118847,,10.1016/j.ijpharm.2019.118847,"Ex vivo (human skin) and in vivo (minipig) permeation of propylene glycol applied as topical crisaborole ointment, 2%",International Journal of Pharmaceutics,2020-02,journal-article,crossref,5,ex_vivo_or_artificial_skin,unconfirmed,mechanistic,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
limonene,PMID:34482547,34482547,10.1111/cod.13966,Facial contact dermatitis caused by cosmetic-relevant allergens.,Contact dermatitis,2021-09-24,Journal Article,pubmed,4,human_topical_observational_or_use_test,abstract_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
limonene,PMID:39085322,39085322,10.1038/s41598-024-65979-1,Randomized placebo controlled trial of phytoterpenes in DMSO for the treatment of plantar fasciitis.,Scientific reports,2024-07-31,Journal Article; Multicenter Study; Randomized Controlled Trial,europe_pmc|pubmed,2,human_topical_rct,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,"Skin permeation of the mixture was enhanced with 15% dimethylsulfoxide (DMSO), 1% limonene, and rosemary oil.",machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
limonene,PMID:36398898,36398898,10.1093/jme/tjac178,Safety and Efficacy of Pure and a Nanosuspension of D-limonene for Controlling Pigeon Lice.,Journal of medical entomology,2023-Jan-12,"Journal Article; Research Support, Non-U.S. Gov't",pubmed,5,ex_vivo_or_artificial_skin,title_exact,combination_or_formulation,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
linalool,PMID:34482547,34482547,10.1111/cod.13966,Facial contact dermatitis caused by cosmetic-relevant allergens.,Contact dermatitis,2021-09-24,Journal Article,pubmed,4,human_topical_observational_or_use_test,abstract_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
linalool,DOI:10.21203/rs.3.rs-1844440/v1,,10.21203/rs.3.rs-1844440/v1,In vivo Evaluation of the Antipsoriatic Effect of Alginate Hydrogel with Lavandin Essential Oil and Its Main Components after Topical Application,,2022-08-24,Preprint,europe_pmc,6,animal,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,"Histopathological studies showed that alginate-based hydrogels with lavandin oil, linalool, and linalyl acetate decreased the mice ears’ oedema and the analysed psoriasis symptoms (parakeratosis epidermal thickening, hypertrophy of the spinous layer, inflammatory infiltrates, Munro's microabscesses, Kogoj's micro-pustules, and dermal papillae oedema).",machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
linalool,PMID:36678818,36678818,10.3390/pharmaceutics15010190,Evaluating the Skin Interactions and Permeation of Alginate/Fucoidan Hydrogels Per Se and Associated with Different Essential Oils.,Pharmaceutics,2023-01-05,Journal Article,pubmed,5,ex_vivo_or_artificial_skin,abstract_exact,combination_or_formulation,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
sodium_benzoate,PMID:35183744,35183744,10.1016/j.jse.2022.01.133,The efficacy of topical preparations in reducing the incidence of Cutibacterium acnes at the start and conclusion of total shoulder arthroplasty: a randomized controlled trial.,Journal of shoulder and elbow surgery,2022-02-18,Journal Article; Randomized Controlled Trial,pubmed,2,human_topical_rct,abstract_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
sodium_benzoate,PMID:35811489,35811489,10.1111/vde.13100,"The efficacy of a novel topical spray composed of sodium benzoate, alcohol and botanical oils for the treatment of Malassezia dermatitis in dogs - a split body, randomised, blinded study.",Veterinary dermatology,2022-07-11,"Journal Article; Randomized Controlled Trial, Veterinary",pubmed,6,animal,title_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,"The efficacy of a novel topical spray composed of sodium benzoate, alcohol and botanical oils for the treatment of Malassezia dermatitis in dogs - a split body, randomised, blinded study. || HYPOTHESIS/OBJECTIVES: To evaluate the efficacy of a topical spray composed of sodium benzoate, alcohol and botanical oils, compared to a shampoo containing 2% chlorhexidine gluconate and 2% miconazole nitrate for the treatment of Malassezia pachydermaitis dermatitis in dogs.",machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
sodium_benzoate,DOI:10.25251/skin.6.4.8,,10.25251/skin.6.4.8,Calcinosis Cutis: Case Report Of Topical Sodium Thiosulfate (STS) Treatment In The Context Of Dermatomyositis,SKIN The Journal of Cutaneous Medicine,2022-07-07,journal-article,crossref,4,human_topical_observational_or_use_test,unconfirmed,human_topical,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
potassium_sorbate,PMID:24969737,24969737,10.1159/000363575,"The effect of topical corticosteroids, topical antihistamines, and preservatives on human ciliary beat frequency.",ORL; journal for oto-rhino-laryngology and its related specialties,2014-06-24,"Journal Article; Research Support, Non-U.S. Gov't",pubmed,4,human_topical_observational_or_use_test,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
potassium_sorbate,PMID:10680936,10680936,10.1097/00005537-200002010-00025,Long-term use of preservatives on rat nasal respiratory mucosa: effects of benzalkonium chloride and potassium sorbate.,The Laryngoscope,2000-Feb,Journal Article,pubmed,6,animal,title_exact,mechanistic,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
potassium_sorbate,PMID:33656744,33656744,10.1111/cod.13829,Allergic contact dermatitis from potassium sorbate and sorbic acid in topical pharmaceuticals and medical devices.,Contact dermatitis,2021-03-03,Journal Article,crossref|pubmed,4,human_topical_observational_or_use_test,title_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
1_2_hexanediol,PMID:19514921,19514921,10.1080/15569520802636082,"Safety of a preservative system containing 1,2-hexanediol and caprylyl glycol.",Cutaneous and ocular toxicology,2009,"Journal Article; Research Support, Non-U.S. Gov't",pubmed,8,review_or_reference,title_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
1_2_hexanediol,PMID:11301638,11301638,10.1034/j.1600-0846.2001.007001032.x,The efficiency of humectants as skin moisturizers in the presence of oil.,Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),2001-Feb,Journal Article,pubmed,6,animal,abstract_exact,mechanistic,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
1_2_hexanediol,PMID:35509819,35509819,10.1016/j.jgr.2021.12.002,"Influence of Panax ginseng formulation on skin microbiota: A randomized, split face comparative clinical study.",Journal of ginseng research,2021-12-14,Journal Article,pubmed,8,review_or_reference,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
disodium_edta,PMID:27374468,27374468,10.1111/vde.12318,Residual antibacterial activity of canine hair treated with topical antimicrobial sprays against Staphylococcus pseudintermedius in vitro.,Veterinary dermatology,2016-Aug,Clinical Trial; Journal Article,pubmed,3,human_topical_clinical,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
disodium_edta,PMID:1609432,1609432,10.1016/0300-483x(92)90105-n,Depletion of essential elements by calcium disodium EDTA treatment in the dog.,Toxicology,1992,"Journal Article; Research Support, Non-U.S. Gov't",pubmed,6,animal,title_exact,mechanistic,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
disodium_edta,PMID:39046669,39046669,10.1007/s40123-024-01000-2,Efficacy and Safety of Preoperative Prophylaxis in Cataract Surgery with Combined Topical Antiseptics: A Microbiological Study.,Ophthalmology and therapy,2024-07-24,Journal Article,pubmed,4,human_topical_observational_or_use_test,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
xanthan_gum,PMID:36835541,36835541,10.3390/ijms24044133,Ethosomal Gel for Topical Administration of Dimethyl Fumarate in the Treatment of HSV-1 Infections.,International journal of molecular sciences,2023-02-18,Journal Article,pubmed,4,human_topical_observational_or_use_test,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
xanthan_gum,PMID:29020654,29020654,10.1016/j.ijbiomac.2017.10.039,Liranaftate loaded Xanthan gum based hydrogel for topical delivery: Physical properties and ex-vivo permeability.,International journal of biological macromolecules,2017-10-08,Journal Article,pubmed,6,animal,title_exact,combination_or_formulation,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
xanthan_gum,TITLE:xanthan gum hydrogel wound dressing enhances wound healing in a rat excisional injury model,,,Xanthan gum hydrogel wound dressing enhances wound healing in a rat excisional injury model,,2025-07-01,Journal Article,europe_pmc,6,animal,title_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
tocopheryl_acetate,PMID:17121065,17121065,,Facilitating facial retinization through barrier improvement.,Cutis,2006-Oct,Journal Article; Multicenter Study; Randomized Controlled Trial,pubmed,2,human_topical_rct,abstract_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,"One moisturizer contained a mixture of vitamins (niacinamide, panthenol, and tocopheryl acetate) to enhance stratum corneum barrier function, and the other moisturizer contained similar moisturizing ingredients but no vitamins.",machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
tocopheryl_acetate,PMID:15238098,15238098,10.1111/j.1600-0781.2004.00103.x,Polymorphous light eruption (PLE) and a new potent antioxidant and UVA-protective formulation as prophylaxis.,"Photodermatology, photoimmunology & photomedicine",2004-Aug,Clinical Trial; Journal Article; Randomized Controlled Trial,pubmed,2,human_topical_rct,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
tocopheryl_acetate,PMID:11479655,11479655,,Effect of formulation on the delivery and metabolism of alpha-tocopheryl acetate.,Journal of cosmetic science,2001,Journal Article,pubmed,2,human_topical_rct,title_exact,combination_or_formulation,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
caprylic_capric_triglyceride,PMID:27131753,27131753,10.1016/j.ejpb.2016.04.022,Human skin penetration and local effects of topical nano zinc oxide after occlusion and barrier impairment.,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2016-04-27,Journal Article; Validation Study,pubmed,4,human_topical_observational_or_use_test,abstract_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
