product_id,canonical_id,kept_ingredient_name,kept_display_order,source_row_count,source_ingredient_ids,source_ingredient_names,source_display_orders,source_concentration_texts,source_normalized_concentrations,concentration_policy
prod_oy_a000000237819,ceramides,세라마이드엔피,47,5,ing_pending_3db8a4dedc4c; ing_pending_ed4d1dc71a25; ing_pending_742cd15ac3e7; ing_pending_6faa7f194935; ing_pending_f1de7c712f85,세라마이드엔피; 세라마이드엔에스; 세라마이드에이피; 세라마이드에이에스; 세라마이드이오피,47; 57; 59; 60; 77,,,none
prod_oy_a000000237819,peptides,트라이펩타이드-1,61,4,ing_pending_709f4e72c2ae; ing_pending_1af9a895ed19; ing_pending_2326ae2ec645; ing_pending_f186dee4b53f,트라이펩타이드-1; 팔미토일펜타펩타이드-4; 아세틸헥사펩타이드-8; 팔미토일테트라펩타이드-7,61; 67; 68; 69,,,none
prod_oy_a000000241360,centella_asiatica,병풀잎수,1,2,ing_pending_d1992139f525; ing_pending_ae9fa1bd4d57,병풀잎수; 병풀추출물,1; 33,"병풀잎수 385,200ppm",38.52 %,single_numeric_preserved
prod_oy_a000000241577,hyaluronic_acid,소듐하이알루로네이트,25,6,ing_pending_dc86714c6b9b; ing_pending_d5a75e7d8737; ing_pending_ebe20aa739f4; ing_pending_5830c0d1d488; ing_pending_1e416583864f; ing_pending_699a72e62403,소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 하이드롤라이즈드소듐하이알루로네이트; 포타슘하이알루로네이트; 소듐하이알루로네이트크로스폴리머; 소듐아세틸레이티드하이알루로네이트,25; 27; 32; 34; 35; 36,,,none
prod_oy_a000000242631,ceramides,세라마이드엔피,38,4,ing_pending_3db8a4dedc4c; ing_pending_ed4d1dc71a25; ing_pending_742cd15ac3e7; ing_pending_f1de7c712f85,세라마이드엔피; 세라마이드엔에스; 세라마이드에이피; 세라마이드이오피,38; 43; 44; 45,,,none
prod_oy_a000000242686,cholesterol_fatty_acids,스테아릭애씨드,14,2,ing_pending_8e5e6501448c; ing_pending_bf86770f3c63,스테아릭애씨드; 콜레스테롤,14; 17,,,none
prod_oy_a000000242686,ceramides,세라마이드엔피,15,5,ing_pending_3db8a4dedc4c; ing_pending_ed4d1dc71a25; ing_pending_742cd15ac3e7; ing_pending_6faa7f194935; ing_pending_f1de7c712f85,세라마이드엔피; 세라마이드엔에스; 세라마이드에이피; 세라마이드에이에스; 세라마이드이오피,15; 16; 19; 20; 21,,,none
prod_oy_a000000242686,hyaluronic_acid,소듐하이알루로네이트,22,8,ing_pending_dc86714c6b9b; ing_pending_5830c0d1d488; ing_pending_2a70c7167edc; ing_pending_d5a75e7d8737; ing_pending_ebe20aa739f4; ing_pending_91a214fb54fa; ing_pending_1e416583864f; ing_pending_699a72e62403,소듐하이알루로네이트; 포타슘하이알루로네이트; 하이알루로닉애씨드; 하이드롤라이즈드하이알루로닉애씨드; 하이드롤라이즈드소듐하이알루로네이트; 하이드록시프로필트라이모늄하이알루로네이트; 소듐하이알루로네이트크로스폴리머; 소듐아세틸레이티드하이알루로네이트,22; 23; 24; 25; 26; 27; 29; 30,,,none
prod_oy_a000000245473,hyaluronic_acid,소듐아세틸레이티드하이알루로네이트,13,2,ing_pending_699a72e62403; ing_pending_dc86714c6b9b,소듐아세틸레이티드하이알루로네이트; 소듐하이알루로네이트,13; 16,,,none
prod_oy_a000000246299,cholesterol_fatty_acids,팔미틱애씨드,17,4,ing_pending_eef58792a781; ing_pending_8e5e6501448c; ing_pending_bf86770f3c63; ing_pending_452a2c10432c,팔미틱애씨드; 스테아릭애씨드; 콜레스테롤; 올레익애씨드,17; 19; 34; 38,,,none
prod_oy_a000000246299,hyaluronic_acid,소듐하이알루로네이트,22,2,ing_pending_dc86714c6b9b; ing_pending_1e416583864f,소듐하이알루로네이트; 소듐하이알루로네이트크로스폴리머,22; 42,,,none
