source,ingredient_id,name_en,search_query,raw_hit_count,returned_count,request_status,error_message,pipeline_version
crossref,beeswax,Beeswax,"""Beeswax"" skin topical",440983,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,behentrimonium_chloride,Behentrimonium Chloride,"""Behentrimonium Chloride"" skin topical",592550,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,behentrimonium_methosulfate,Behentrimonium Methosulfate,"""Behentrimonium Methosulfate"" skin topical",439565,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,behenyl_alcohol,Behenyl Alcohol,"""Behenyl Alcohol"" skin topical",717504,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,benzoic_acid,Benzoic Acid,"""Benzoic Acid"" skin topical",1640411,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,benzyl_alcohol,Benzyl Alcohol,"""Benzyl Alcohol"" skin topical",740466,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,benzyl_benzoate,Benzyl Benzoate,"""Benzyl Benzoate"" skin topical",473888,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,benzyl_glycol,Benzyl Glycol,"""Benzyl Glycol"" skin topical",515064,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,benzyl_salicylate,Benzyl Salicylate,"""Benzyl Salicylate"" skin topical",472479,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,beta_glucan,Beta-Glucan,"""Beta-Glucan"" skin topical",632279,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,betaine,Betaine,"""Betaine"" skin topical",446122,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,bht,BHT,"""BHT"" skin topical",440331,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,biosaccharide_gum_1,Biosaccharide Gum-1,"""Biosaccharide Gum-1"" skin topical",466451,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,biotin,Biotin,"""Biotin"" skin topical",448507,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,bis_diglyceryl_polyacyladipate_2,Bis-Diglyceryl Polyacyladipate-2,"""Bis-Diglyceryl Polyacyladipate-2"" skin topical",738167,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,bis_ethylhexyloxyphenol_methoxyphenyl_triazine,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,"""Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine"" skin topical",756532,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,bisabolol,Bisabolol,"""Bisabolol"" skin topical",439790,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,boron_nitride,Boron Nitride,"""Boron Nitride"" skin topical",598028,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,brilliant_blue_fcf,Brilliant Blue FCF,"""Brilliant Blue FCF"" skin topical",635667,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,butyl_methoxydibenzoylmethane,Butyl Methoxydibenzoylmethane,"""Butyl Methoxydibenzoylmethane"" skin topical",480228,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,butylene_ethylene_styrene_copolymer,Butylene/Ethylene/Styrene Copolymer,"""butylene ethylene styrene copolymer"" skin topical",613632,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,butylene_glycol,Butylene Glycol,"""Butylene Glycol"" skin topical",494216,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,butylene_glycol_dicaprylate_dicaprate,Butylene Glycol Dicaprylate/Dicaprate,"""butylene glycol dicaprylate dicaprate"" skin topical",494249,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,butyloctyl_salicylate,Butyloctyl Salicylate,"""Butyloctyl Salicylate"" skin topical",445842,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,butylphenyl_methylpropional,Butylphenyl Methylpropional,"""Butylphenyl Methylpropional"" skin topical",440341,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,c11_15_alketh_7,C11-15 Alketh-7,"""C11-15 Alketh-7"" skin topical",3928192,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,c12_15_alkyl_benzoate,C12-15 Alkyl Benzoate,"""C12-15 Alkyl Benzoate"" skin topical",4004157,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,c13_15_alkane,C13-15 Alkane,"""C13-15 Alkane"" skin topical",3935904,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,c9_12_alkane,C9-12 Alkane,"""C9-12 Alkane"" skin topical",6234446,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,caffeine,Caffeine,"""Caffeine"" skin topical",462313,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,calcium_aluminum_borosilicate,Calcium Aluminum Borosilicate,"""Calcium Aluminum Borosilicate"" skin topical",891057,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,calcium_gluconate,Calcium Gluconate,"""Calcium Gluconate"" skin topical",717010,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,calcium_sodium_borosilicate,Calcium Sodium Borosilicate,"""Calcium Sodium Borosilicate"" skin topical",986413,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,calendula_officinalis_flower_extract,Calendula Officinalis Flower Extract,"""Calendula Officinalis Flower Extract"" skin topical",699857,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,camellia_japonica_seed_oil,Camellia Japonica Seed Oil,"""Camellia Japonica Seed Oil"" skin topical",1326682,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,camellia_sinensis_leaf_extract,Camellia Sinensis Leaf Extract,"""Camellia Sinensis Leaf Extract"" skin topical",814147,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,caprylhydroxamic_acid,Caprylhydroxamic Acid,"""Caprylhydroxamic Acid"" skin topical",1638406,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,caprylic_capric_triglyceride,Caprylic/Capric Triglyceride,"""caprylic capric triglyceride"" skin topical",455645,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,capryloyl_salicylic_acid,Capryloyl Salicylic Acid,"""Capryloyl Salicylic Acid"" skin topical",1639095,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,caprylyl_capryl_glucoside,Caprylyl/Capryl Glucoside,"""caprylyl capryl glucoside"" skin topical",445313,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,caprylyl_glycol,Caprylyl Glycol,"""Caprylyl Glycol"" skin topical",488496,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,caprylyl_methicone,Caprylyl Methicone,"""Caprylyl Methicone"" skin topical",439430,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,caramel,Caramel,"""Caramel"" skin topical",440190,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,carbomer,Carbomer,"""Carbomer"" skin topical",439722,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,carthamus_tinctorius_safflower_seed_oil,Carthamus Tinctorius (Safflower) Seed Oil,"""carthamus tinctorius safflower seed oil"" skin topical",1265602,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cellulose,Cellulose,"""Cellulose"" skin topical",553148,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cellulose_gum,Cellulose Gum,"""Cellulose Gum"" skin topical",579754,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,centella_asiatica,Centella Asiatica Extracts,"""Centella Asiatica Extracts"" skin topical",554730,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,centella_asiatica_extract,Centella Asiatica Extract,"""Centella Asiatica Extract"" skin topical",640229,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ceramide_np,Ceramide NP,"""Ceramide NP"" skin topical",485002,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ceramides,Ceramides,"""Ceramides"" skin topical",440858,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cetearyl_alcohol,Cetearyl Alcohol,"""Cetearyl Alcohol"" skin topical",717499,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cetearyl_glucoside,Cetearyl Glucoside,"""Cetearyl Glucoside"" skin topical",445299,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cetearyl_olivate,Cetearyl Olivate,"""Cetearyl Olivate"" skin topical",439438,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cetrimonium_chloride,Cetrimonium Chloride,"""Cetrimonium Chloride"" skin topical",592628,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cetyl_alcohol,Cetyl Alcohol,"""Cetyl Alcohol"" skin topical",718108,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cetyl_esters,Cetyl Esters,"""Cetyl Esters"" skin topical",515431,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cetyl_ethylhexanoate,Cetyl Ethylhexanoate,"""Cetyl Ethylhexanoate"" skin topical",440354,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cetyl_palmitate,Cetyl Palmitate,"""Cetyl Palmitate"" skin topical",445235,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cetyl_peg_ppg_10_1_dimethicone,Cetyl PEG/PPG-10/1 Dimethicone,"""cetyl peg ppg 10 1 dimethicone"" skin topical",6618739,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,chamomilla_recutita_matricaria_flower_extract,Chamomilla Recutita (Matricaria) Flower Extract,"""Anthemis Nobilis Flower Extract"" skin topical",690295,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,chlorphenesin,Chlorphenesin,"""Chlorphenesin"" skin topical",439480,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cholesterol,Cholesterol,"""Cholesterol"" skin topical",530065,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cholesterol_fatty_acids,Cholesterol / Fatty Acids,"""Behenic Acid"" skin topical",1638413,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,chondrus_crispus_extract,Chondrus Crispus Extract,"""Chondrus Crispus Extract"" skin topical",637891,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,citral,Citral,"""Citral"" skin topical",440911,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,citric_acid,Citric Acid,"""Citric Acid"" skin topical",1639016,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,citronellol,Citronellol,"""Citronellol"" skin topical",439776,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,citrullus_lanatus_watermelon_fruit_extract,Citrullus Lanatus (Watermelon) Fruit Extract,"""citrullus lanatus watermelon fruit extract"" skin topical",791440,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,citrus_aurantium_bergamia_bergamot_fruit_oil,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,"""citrus aurantium bergamia bergamot fruit oil"" skin topical",1250309,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,citrus_aurantium_dulcis_orange_fruit_extract,Citrus Aurantium Dulcis (Orange) Fruit Extract,"""citrus aurantium dulcis orange fruit extract"" skin topical",869402,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,citrus_aurantium_dulcis_orange_peel_oil,Citrus Aurantium Dulcis (Orange) Peel Oil,"""citrus aurantium dulcis orange peel oil"" skin topical",1180574,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,citrus_limon_lemon_fruit_extract,Citrus Limon (Lemon) Fruit Extract,"""citrus limon lemon fruit extract"" skin topical",837632,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,citrus_limon_lemon_peel_oil,Citrus Limon (Lemon) Peel Oil,"""citrus limon lemon peel oil"" skin topical",1149582,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cocamidopropyl_betaine,Cocamidopropyl Betaine,"""Cocamidopropyl Betaine"" skin topical",446149,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,coccinia_indica_fruit_extract,Coccinia Indica Fruit Extract,"""Coccinia Indica Fruit Extract"" skin topical",804860,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,coco_betaine,Coco-Betaine,"""Coco-Betaine"" skin topical",455014,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,coco_caprylate_caprate,Coco-Caprylate/Caprate,"""coco caprylate caprate"" skin topical",448788,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,coco_glucoside,Coco-Glucoside,"""Coco-Glucoside"" skin topical",454162,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,coconut_acid,Coconut Acid,"""Coconut Acid"" skin topical",1658517,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cocos_nucifera_coconut_oil,Cocos Nucifera (Coconut) Oil,"""cocos nucifera coconut oil"" skin topical",1082910,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,coffea_arabica_coffee_seed_extract,Coffea Arabica (Coffee) Seed Extract,"""coffea arabica coffee seed extract"" skin topical",901925,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,copernicia_cerifera_carnauba_wax,Copernicia Cerifera (Carnauba) Wax,"""copernicia cerifera carnauba wax"" skin topical",459113,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,copper_tripeptide_1,Copper Tripeptide-1,"""Copper Tripeptide-1"" skin topical",771399,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,corallina_officinalis_extract,Corallina Officinalis Extract,"""Corallina Officinalis Extract"" skin topical",648944,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,coumarin,Coumarin,"""Coumarin"" skin topical",452552,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cucumis_sativus_cucumber_fruit_extract,Cucumis Sativus (Cucumber) Fruit Extract,"""cucumis sativus cucumber fruit extract"" skin topical",813770,25,ok,,mwbl-ingredient-multisource-discovery-v1
