portfolio_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,current_runtime,current_effect_score,best_evidence_tier,best_relation_scope,best_applicability,best_pmid,signal_strength,score_basis,proposed_effect_score,scientific_evidence_score,runtime_score_eligible,counterfactual_score_eligible_after_review,score_exclusion_reason,review_status,activation_status
16,ceramides,세라마이드,Ceramides,effect_moisture_barrier,보습·장벽,Y,74,,,,,current,existing_runtime_unchanged,74.00,,Y,N,,existing_runtime,active_existing
17,ascorbic_acid,비타민C,Ascorbic Acid,effect_brightening,미백·톤,Y,62,,,,,current,existing_runtime_unchanged,62.00,,Y,N,,existing_runtime,active_existing
17,ascorbic_acid,비타민C,Ascorbic Acid,effect_wrinkle,주름·탄력,Y,45,,,,,current,existing_runtime_unchanged,45.00,,Y,N,,existing_runtime,active_existing
18,beta_glucan,베타-글루칸,Beta-Glucan,effect_moisture_barrier,보습·장벽,Y,52,,,,,current,existing_runtime_unchanged,52.00,,Y,N,,existing_runtime,active_existing
19,phytosphingosine,피토스핑고신,Phytosphingosine,effect_acne_sebum,여드름·피지,Y,42,,,,,current,existing_runtime_unchanged,42.00,,Y,N,,existing_runtime,active_existing
19,phytosphingosine,피토스핑고신,Phytosphingosine,effect_moisture_barrier,보습·장벽,Y,55,,,,,current,existing_runtime_unchanged,55.00,,Y,N,,existing_runtime,active_existing
20,madecassoside,마데카소사이드,Madecassoside,effect_calming,진정,Y,58,,,,,current,existing_runtime_unchanged,58.00,,Y,N,,existing_runtime,active_existing
20,madecassoside,마데카소사이드,Madecassoside,effect_moisture_barrier,보습·장벽,Y,44,,,,,current,existing_runtime_unchanged,44.00,,Y,N,,existing_runtime,active_existing
20,madecassoside,마데카소사이드,Madecassoside,effect_wrinkle,주름·탄력,Y,44,,,,,current,existing_runtime_unchanged,44.00,,Y,N,,existing_runtime,active_existing
21,pha,PHA,Polyhydroxy Acids,effect_calming,진정,Y,35,,,,,current,existing_runtime_unchanged,35.00,,Y,N,,existing_runtime,active_existing
21,pha,PHA,Polyhydroxy Acids,effect_exfoliation,각질,Y,55,,,,,current,existing_runtime_unchanged,55.00,,Y,N,,existing_runtime,active_existing
21,pha,PHA,Polyhydroxy Acids,effect_moisture_barrier,보습·장벽,Y,48,,,,,current,existing_runtime_unchanged,48.00,,Y,N,,existing_runtime,active_existing
21,pha,PHA,Polyhydroxy Acids,effect_wrinkle,주름·탄력,Y,42,,,,,current,existing_runtime_unchanged,42.00,,Y,N,,existing_runtime,active_existing
