product_id,ingredient_id,ingredient_name,display_order,concentration_type,value_min,value_max,unit,confidence,visibility,basis,source
prod_oy_a000000187241,ing_pending_02c810ed0c7d,알로에베라잎즙,8,exact,0.09199,0.09199,%,medium,public,알로에베라잎즙 0.09199%,product_ingredients.normalized_concentration_value
prod_oy_a000000187241,ing_pending_d5a75e7d8737,하이드롤라이즈드하이알루로닉애씨드,9,exact,0.001,0.001,%,medium,public,하이드롤라이즈드하이알루로닉애씨드 0.001%,product_ingredients.normalized_concentration_value
prod_oy_a000000187241,ing_pending_dc86714c6b9b,소듐하이알루로네이트,10,exact,0.0010025,0.0010025,%,medium,public,소듐하이알루로네이트 0.0010025%,product_ingredients.normalized_concentration_value
prod_oy_a000000187241,ing_pending_ebe20aa739f4,하이드롤라이즈드소듐하이알루로네이트,11,exact,0.0010475,0.0010475,%,medium,public,하이드롤라이즈드소듐하이알루로네이트 0.0010475%,product_ingredients.normalized_concentration_value
prod_oy_a000000187241,ing_pending_1e416583864f,소듐하이알루로네이트크로스폴리머,12,exact,0.000001,0.000001,%,medium,public,소듐하이알루로네이트크로스폴리머 0.000001%,product_ingredients.normalized_concentration_value
prod_oy_a000000187241,ing_pending_91a214fb54fa,하이드록시프로필트라이모늄하이알루로네이트,13,exact,0.001,0.001,%,medium,public,하이드록시프로필트라이모늄하이알루로네이트 0.001%,product_ingredients.normalized_concentration_value
prod_oy_a000000187241,ing_pending_d051da881b38,페룰릭애씨드,14,exact,0.00099,0.00099,%,medium,public,페룰릭애씨드 0.00099%,product_ingredients.normalized_concentration_value
prod_oy_a000000187241,ing_pending_a2b349340a39,알로에베라잎폴리사카라이드,15,exact,0.00001,0.00001,%,medium,public,알로에베라잎폴리사카라이드 0.00001%,product_ingredients.normalized_concentration_value
prod_oy_a000000187241,ing_pending_c868df5fca6e,토코페롤,30,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000187241,ing_pending_28718f9ba88b,펜틸렌글라이콜,31,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000187241,ing_pending_89db7240090d,에틸헥실글리세린,32,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000187241,ing_pending_e84ce3051871,수용성프로테오글리칸,33,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000187241,ing_pending_345ab5abf5d7,라임전초오일,34,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
