fetched_on,source_url,inci_name,functions_json,restrictions_json,sccs_opinions_json,substance_ids_json
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMYL CINNAMAL,"[""PERFUMING""]","[""III/67""]",[],"[""31923""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ANHYDROXYLITOL,"[""HUMECTANT"", ""SKIN CONDITIONING""]",[],[],"[""54477""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ARBUTIN,"[""ANTIOXIDANT"", ""BLEACHING"", ""SKIN CONDITIONING - MISCELLANEOUS""]","[""III/378""]","[""Opinion on beta-Arbutin""]","[""74362""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ARGANIA SPINOSA KERNEL OIL,"[""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""54495""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ARGININE,"[""ANTISTATIC"", ""FRAGRANCE"", ""HAIR CONDITIONING"", ""SKIN CONDITIONING""]",[],[],"[""74314""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ASCORBIC ACID,"[""ANTIOXIDANT"", ""BUFFERING"", ""FRAGRANCE"", ""SKIN CONDITIONING""]",[],[],"[""74328""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ASCORBYL GLUCOSIDE,"[""ANTIOXIDANT""]",[],[],"[""54531""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ASCORBYL PALMITATE,"[""ANTIOXIDANT"", ""FRAGRANCE""]",[],[],"[""32007""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ASIATIC ACID,"[""LIGHT STABILIZER"", ""SKIN CONDITIONING""]",[],[],"[""32009""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ASIATICOSIDE,"[""ANTIOXIDANT"", ""PERFUMING"", ""SKIN CONDITIONING""]",[],[],"[""54535""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ASPARTIC ACID,"[""ANTISTATIC"", ""FRAGRANCE"", ""HAIR CONDITIONING"", ""SKIN CONDITIONING""]",[],[],"[""74340""]"
