canonical_brand,alias_brand,source_row_count,source_prefixes,sample_product_codes,confidence,basis,note
Dr Dennis Gross,Dr. Dennis Gross Skincare,10,세포라:10,sephora_d7c61766a8aac4; sephora_4124e975d3ff1c; sephora_ecff4846960196; sephora_061759d8c66413; sephora_fbfbbb55a9f242; sephora_8a5b82d38eadb4; sephora_d830f31e0ce519; sephora_2e195f2337acec; sephora_80750a2a12c732; sephora_af979116c9513f,0.90,known_display_alias,"same brand family; alias only, not brand pollution"
Numbuzin,넘버즈인,14,올리브영:14,prod_oy_a000000227244; prod_oy_a000000227458; prod_oy_a000000216509; prod_oy_a000000216511; prod_oy_a000000204306; prod_oy_a000000190395; prod_oy_a000000258047; prod_oy_a000000250711; prod_oy_a000000189837; prod_oy_a000000200039,0.90,korean_english_display_alias,Korean/English brand display alias
